u_mag,g_mag,r_mag,i_mag,z_mag,redshift,petroR50_u,petroR50_r,class
18.244,18.611,18.664,18.909,19.035,0.001255,0.416,0.505,STAR
15.999,16.249,16.694,16.929,17.022,0.001472,0.536,0.545,STAR
17.405,17.651,17.757,18.027,18.081,0.00128,0.501,0.445,STAR
16.333,16.855,17.205,17.315,17.474,0.001129,0.597,0.572,STAR
17.204,17.599,18.298,18.631,18.737,0.376411,2.093,3.312,GALAXY
20.162,20.775,20.903,21.092,21.189,0.000835,0.572,0.353,STAR
16.905,16.722,16.992,17.123,17.19,0.000687,0.757,0.442,STAR
15.995,16.17,16.505,16.673,16.648,2.046056,0.932,1.264,QSO
20.377,20.803,21.213,21.457,21.829,0.556243,0.775,2.836,GALAXY
20.772,20.808,21.574,22.009,22.217,0.177346,2.782,3.325,GALAXY
16.447,16.818,17.417,17.663,18.005,0.113645,2.439,2.261,GALAXY
20.146,20.632,21.198,21.144,21.159,-0.180354,2.418,1.899,GALAXY
17.726,18.025,18.474,18.694,18.874,0.000968,0.455,0.451,STAR
19.228,18.892,19.687,20.151,20.45,0.205198,1.79,2.184,GALAXY
16.904,17.208,17.189,17.326,17.455,-0.115598,0.935,0.748,QSO
22.531,23.294,23.792,23.845,24.028,0.44822,3.608,2.111,GALAXY
18.008,18.596,18.685,18.829,18.902,0.001495,0.377,0.5,STAR
17.888,18.632,19.131,19.438,19.688,0.191273,2.44,2.101,GALAXY
20.159,20.903,21.242,21.44,21.722,-0.015293,3.718,1.291,GALAXY
21.549,22.382,23.007,23.585,23.635,0.390794,2.664,2.682,GALAXY
20.376,21.346,21.628,21.877,22.048,0.406033,2.111,3.287,GALAXY
20.195,20.513,20.691,20.735,20.836,0.001426,0.54,0.537,STAR
18.652,18.605,18.703,18.894,18.914,-0.000336,0.376,0.264,STAR
18.489,19.069,19.729,19.929,20.172,0.324484,3.121,2.599,GALAXY
16.909,16.983,17.026,17.173,17.154,0.000319,0.444,0.286,STAR
22.149,23.278,23.82,24.494,24.368,-0.095425,3.1,3.881,GALAXY
19.603,19.921,20.068,20.079,20.068,0.000708,0.375,0.548,STAR
16.177,16.262,16.735,16.715,16.919,0.00065,0.605,0.481,STAR
19.257,19.39,19.805,20.293,20.36,0.476433,3.379,3.002,GALAXY
18.14,18.527,18.816,19.255,19.351,0.499148,2.285,2.54,GALAXY
21.317,21.761,22.457,22.296,22.402,0.35318,1.416,3.857,GALAXY
17.381,17.3,17.214,17.704,18.1,0.29341,2.567,3.007,GALAXY
20.714,20.836,20.961,21.121,21.178,0.7632,0.991,1.168,QSO
18.209,18.617,18.806,18.917,19.092,0.001537,0.453,0.593,STAR
15.687,16.772,17.535,17.387,17.824,0.022072,2.024,3.636,GALAXY
21.719,22.315,22.571,23.051,23.474,-0.009632,1.779,1.748,GALAXY
17.585,17.889,18.028,18.11,18.396,0.001102,0.432,0.503,STAR
17.727,18.34,18.612,18.831,18.904,0.001641,0.551,0.629,STAR
19.88,20.121,20.325,20.374,20.403,1.492912,1.028,1.043,QSO
17.049,17.395,17.96,18.281,18.373,0.191251,3.383,2.592,GALAXY
18.864,19.077,19.522,19.756,19.78,0.001105,0.534,0.523,STAR
20.747,20.716,20.824,20.911,20.963,1.496844,1.081,0.105,QSO
19.835,19.951,20.196,20.454,20.628,0.382011,3.435,2.128,GALAXY
18.642,19.31,19.73,19.644,19.777,0.145624,2.686,3.453,GALAXY
21.253,21.713,22.216,22.582,22.682,0.242913,3.282,3.093,GALAXY
17.847,18.245,18.326,18.634,18.714,0.000543,0.418,0.49,STAR
18.346,18.709,18.894,19.035,19.153,9.8e-05,0.68,0.479,STAR
19.872,20.184,20.509,20.891,20.811,0.00087,0.574,0.561,STAR
18.34,18.441,18.675,18.7,18.749,1.414618,1.081,1.33,QSO
19.647,19.873,20.325,20.408,20.298,0.430086,4.086,2.368,GALAXY
19.797,19.968,20.528,20.731,20.507,0.451075,2.848,2.857,GALAXY
16.411,16.816,17.607,18.184,18.54,0.231749,2.118,3.094,GALAXY
17.049,17.322,17.624,17.698,17.765,0.952635,1.178,1.216,QSO
21.596,22.415,22.876,23.058,23.17,0.564836,1.514,1.537,GALAXY
17.878,17.988,18.221,18.88,19.003,0.309966,2.459,1.195,GALAXY
16.968,16.87,16.92,17.279,17.348,0.000639,0.527,0.564,STAR
19.758,20.102,20.24,20.668,20.816,0.252006,0.213,1.376,GALAXY
16.73,17.06,17.197,17.277,17.307,0.001265,0.557,0.512,STAR
17.53,17.912,18.245,18.513,18.605,0.262371,3.641,2.401,GALAXY
22.484,22.808,23.523,23.749,23.785,0.202143,2.761,1.88,GALAXY
18.964,19.511,19.761,20.03,20.237,0.339973,2.006,2.277,GALAXY
18.656,19.149,19.661,20.003,20.343,0.691199,2.49,1.402,GALAXY
16.239,16.104,15.987,16.063,16.102,0.001459,0.484,0.665,STAR
20.557,21.028,21.602,22.032,22.183,0.535556,3.308,2.608,GALAXY
19.112,20.32,20.516,20.493,21.041,0.444535,2.692,2.637,GALAXY
19.823,19.816,20.28,20.474,20.707,0.000879,0.519,0.637,STAR
15.903,15.891,15.979,16.005,16.075,-6.8e-05,0.459,0.341,STAR
18.06,18.396,18.601,18.681,18.763,0.001143,0.466,0.463,STAR
21.651,22.015,22.519,23.122,23.155,0.551464,1.888,3.677,GALAXY
22.106,22.486,22.913,23.169,23.31,0.483668,1.299,3.636,GALAXY
16.666,17.064,17.3,17.454,17.527,0.001525,0.354,0.616,STAR
19.242,20.39,20.969,21.132,21.36,0.038662,3.374,2.209,GALAXY
16.085,16.236,16.328,16.503,16.612,0.607211,1.286,0.568,QSO
18.486,18.644,18.811,19.032,19.152,0.00168,0.366,0.347,STAR
22.692,23.456,23.51,23.808,23.854,0.331038,1.947,1.18,GALAXY
16.598,16.808,17.004,17.275,17.415,0.001408,0.476,0.413,STAR
17.38,17.642,18.382,18.273,18.63,0.16932,1.899,2.802,GALAXY
14.98,15.005,15.382,15.241,15.462,0.001648,0.463,0.351,STAR
14.788,15.371,15.538,15.608,15.803,0.001212,0.614,0.671,STAR
15.94,16.56,16.701,17.082,17.249,0.612205,3.454,2.67,GALAXY
23.455,24.318,24.509,24.622,24.844,0.449952,2.058,1.71,GALAXY
16.685,16.553,17.203,17.725,17.871,0.450197,3.122,2.598,GALAXY
18.687,19.247,19.588,19.748,19.899,0.000402,0.575,0.649,STAR
19.444,20.004,20.666,20.769,21.002,0.41515,2.535,1.696,GALAXY
21.227,21.881,22.532,23.112,23.331,0.064772,3.033,2.616,GALAXY
18.013,18.399,18.394,18.59,18.62,0.001161,0.613,0.477,STAR
17.197,17.974,18.277,18.371,18.484,0.001256,0.774,0.643,STAR
18.282,18.649,18.834,18.943,18.992,2.575063,0.716,1.231,QSO
15.781,15.883,16.051,16.101,16.308,0.000514,0.667,0.582,STAR
16.377,16.79,16.89,16.968,17.156,0.00093,0.428,0.622,STAR
19.75,20.696,21.161,21.525,21.721,0.221475,2.216,2.878,GALAXY
19.571,20.015,20.375,20.557,20.516,0.001006,0.804,0.397,STAR
20.223,20.295,20.303,20.383,20.508,1.15359,0.751,1.112,QSO
17.635,18.291,18.535,18.827,18.825,0.001434,0.618,0.411,STAR
16.929,17.096,17.13,17.222,17.264,0.102425,0.536,1.168,QSO
20.325,20.544,20.688,20.773,20.863,0.566789,0.637,0.897,QSO
19.935,20.758,21.329,21.519,21.8,0.061205,3.255,2.264,GALAXY
19.457,19.569,19.349,19.562,19.646,0.001474,0.485,0.572,STAR
22.563,23.098,23.222,23.591,24.028,0.156577,1.447,2.1,GALAXY
18.602,18.823,19.112,19.144,19.325,1.223602,0.482,0.832,QSO
19.472,19.609,20.018,20.248,20.392,0.000494,0.532,0.577,STAR
17.091,17.188,17.066,17.221,17.378,0.001876,0.611,0.39,STAR
16.452,16.9,17.168,17.407,17.411,0.000837,0.684,0.456,STAR
20.381,21.171,21.539,21.983,22.283,0.411928,3.077,2.733,GALAXY
20.151,20.96,21.316,21.929,22.255,0.157066,2.875,2.57,GALAXY
18.592,18.832,18.862,19.059,19.154,0.001278,0.45,0.663,STAR
16.949,16.978,16.989,17.114,17.15,2.008196,0.923,0.82,QSO
23.852,24.467,24.975,25.422,25.876,0.275256,3.366,2.004,GALAXY
16.166,16.291,16.452,16.509,16.606,1.103442,1.216,1.387,QSO
18.446,19.134,19.126,19.22,19.379,-0.209328,3.409,1.326,GALAXY
16.783,17.224,17.693,17.952,18.123,0.195744,2.438,2.228,GALAXY
18.16,18.37,18.375,18.511,18.668,1.225058,1.012,1.068,QSO
21.509,21.642,21.929,21.948,21.993,1.629425,0.678,0.935,QSO
17.569,18.416,19.187,19.409,19.633,0.321576,3.229,2.851,GALAXY
18.91,19.456,19.685,19.995,20.41,0.394596,2.922,3.93,GALAXY
22.457,22.727,23.225,23.882,24.4,0.14282,1.287,1.561,GALAXY
17.83,18.105,18.229,18.523,18.571,0.001432,0.5,0.369,STAR
19.753,20.087,20.393,20.66,20.68,0.001132,0.251,0.431,STAR
16.119,16.474,16.759,16.837,16.931,0.001248,0.668,0.505,STAR
16.615,16.55,16.73,16.828,17.006,0.000546,0.553,0.544,STAR
16.514,16.56,17.037,17.218,17.372,0.000975,0.572,0.549,STAR
19.475,19.642,19.811,19.902,19.93,2.115022,0.885,0.419,QSO
20.78,21.243,21.689,22.026,22.373,0.131483,1.305,1.873,GALAXY
19.425,19.744,20.212,20.183,20.469,0.267758,3.445,3.662,GALAXY
15.606,15.911,16.09,16.281,16.333,0.0008,0.481,0.378,STAR
20.244,20.661,21.199,21.28,21.487,-0.188657,1.462,3.632,GALAXY
21.297,21.702,21.834,22.322,22.489,0.15283,2.081,2.03,GALAXY
19.63,19.991,20.316,20.167,20.285,-0.159003,2.0,2.261,GALAXY
15.267,16.066,16.294,16.854,17.124,-0.04936,3.777,3.17,GALAXY
17.756,17.906,17.91,18.067,18.116,0.001031,0.349,0.701,STAR
20.698,21.691,22.392,22.646,22.713,0.237037,1.765,3.304,GALAXY
17.53,17.702,17.747,17.887,17.944,0.000549,0.335,0.553,STAR
20.725,21.49,22.441,23.007,23.388,0.483897,2.307,3.573,GALAXY
21.37,21.899,21.534,21.796,22.04,0.08747,1.54,3.079,GALAXY
17.426,17.562,18.24,18.648,18.749,0.0564,2.568,1.536,GALAXY
20.746,21.364,22.168,22.779,22.913,0.144117,3.163,0.829,GALAXY
15.82,16.258,16.551,16.556,16.641,0.936343,1.208,0.552,QSO
16.681,16.826,17.092,17.204,17.385,2.562821,0.707,1.22,QSO
18.266,18.919,19.404,19.74,20.047,0.440263,1.245,2.516,GALAXY
19.395,19.526,20.04,20.101,20.186,-0.000297,0.624,0.457,STAR
17.051,17.604,18.367,18.751,18.853,0.247971,2.572,3.406,GALAXY
21.637,22.06,22.168,22.191,22.291,0.001131,0.452,0.433,STAR
20.197,20.351,20.539,20.624,20.731,0.001591,0.505,0.594,STAR
19.469,20.103,20.331,20.761,21.134,0.769588,4.025,2.277,GALAXY
20.474,21.19,21.369,21.421,21.353,0.029301,1.673,3.075,GALAXY
22.022,22.865,23.044,23.405,23.651,0.077717,1.325,2.495,GALAXY
18.603,18.809,19.006,19.158,19.651,0.168637,1.877,2.391,GALAXY
21.883,21.955,22.04,22.007,22.159,0.001822,0.401,0.436,STAR
18.298,18.474,18.657,18.848,18.904,2.672671,1.746,0.889,QSO
15.259,15.445,15.703,15.728,15.824,0.000588,0.527,0.261,STAR
18.915,19.178,19.362,19.408,19.448,0.000735,0.488,0.267,STAR
19.248,19.347,19.732,19.989,20.283,0.349835,3.499,1.938,GALAXY
17.7,17.774,17.82,17.877,17.891,0.000293,0.555,0.569,STAR
17.588,17.618,17.644,17.832,18.107,0.000124,0.525,0.282,STAR
21.57,22.393,22.596,22.864,23.29,0.25135,1.606,3.612,GALAXY
19.089,19.689,20.131,20.392,20.741,0.292888,1.964,2.365,GALAXY
22.666,23.067,23.073,23.191,23.468,0.412696,1.413,2.056,GALAXY
19.829,20.089,20.601,21.052,21.214,0.141328,2.859,3.379,GALAXY
19.628,20.082,20.305,20.519,20.61,0.000591,0.661,0.672,STAR
19.051,19.443,19.261,19.718,20.14,0.314581,2.63,2.419,GALAXY
16.752,17.113,17.571,17.891,18.012,0.29469,1.455,3.076,GALAXY
16.882,17.099,17.019,17.122,17.252,0.000272,0.514,0.482,STAR
19.286,19.671,19.71,19.804,19.906,2.008101,1.578,0.107,QSO
21.464,21.499,21.828,21.979,22.035,-0.072928,3.264,2.682,GALAXY
18.259,18.374,18.591,18.739,18.877,2.860335,0.8,0.79,QSO
17.9,18.646,19.014,19.293,19.488,0.443257,2.413,1.832,GALAXY
16.406,16.684,17.049,17.254,17.439,0.00171,0.477,0.538,STAR
19.422,19.612,19.672,19.801,19.901,0.000527,0.495,0.608,STAR
18.947,19.304,19.565,19.776,19.957,0.000339,0.353,0.302,STAR
18.065,18.459,18.946,18.889,19.244,0.112219,1.422,3.44,GALAXY
17.783,18.2,18.36,18.5,18.528,0.001747,0.509,0.525,STAR
17.228,17.744,18.182,18.291,18.469,0.001621,0.565,0.477,STAR
20.57,20.755,20.904,21.038,21.22,0.955275,0.887,0.668,QSO
17.135,17.544,18.079,18.158,18.307,0.000322,0.507,0.561,STAR
21.28,21.626,21.923,22.25,22.192,0.188254,0.74,1.814,GALAXY
15.319,15.297,15.453,15.675,15.912,0.002114,0.502,0.429,STAR
18.453,18.705,18.928,19.125,19.185,0.001202,0.57,0.528,STAR
17.582,18.023,18.281,18.851,19.083,0.553486,1.147,0.86,GALAXY
16.824,17.258,17.512,17.733,17.86,0.001803,0.444,0.55,STAR
18.428,19.276,20.003,19.93,19.989,0.426508,0.56,1.004,GALAXY
16.19,16.529,16.603,16.65,16.703,1.887764,1.454,1.248,QSO
21.62,21.816,22.006,22.165,22.254,1.643772,0.791,1.359,QSO
17.561,17.907,17.861,18.119,18.149,0.000946,0.46,0.502,STAR
16.899,17.119,17.053,17.205,17.328,0.00225,0.545,0.535,STAR
15.121,15.594,15.629,15.649,15.695,2.819858,0.797,0.909,QSO
20.89,20.946,21.469,21.569,21.578,0.490716,0.823,1.389,GALAXY
17.422,17.435,17.725,17.734,17.918,0.001083,0.431,0.58,STAR
18.518,18.824,19.167,19.115,19.151,0.328937,1.728,1.783,GALAXY
18.409,18.619,18.846,19.007,19.079,0.001626,0.404,0.47,STAR
20.142,21.007,21.682,21.628,21.923,0.477643,2.356,1.475,GALAXY
18.387,18.707,18.892,19.037,19.147,2.140003,1.037,1.018,QSO
21.939,22.727,23.173,23.511,23.61,0.219403,1.863,1.983,GALAXY
16.495,17.068,17.607,17.976,18.263,0.469118,2.761,2.855,GALAXY
19.501,20.079,20.335,20.576,20.565,0.000554,0.5,0.415,STAR
18.782,19.116,19.799,19.495,19.475,0.256873,1.536,3.755,GALAXY
17.397,17.757,17.783,17.848,17.862,0.000839,0.424,0.564,STAR
20.11,20.154,20.213,20.33,20.659,0.345325,2.049,3.175,GALAXY
18.817,19.222,19.387,19.413,19.572,0.000346,0.292,0.548,STAR
21.445,21.533,22.0,22.323,22.403,0.196519,2.838,2.089,GALAXY
17.068,17.525,17.666,17.914,18.066,0.001198,0.421,0.466,STAR
19.625,19.866,20.058,20.288,20.411,2.226279,0.647,0.398,QSO
17.833,17.959,18.22,18.511,18.877,0.03687,2.405,4.072,GALAXY
19.032,19.121,18.94,19.0,19.099,0.001478,0.448,0.327,STAR
17.76,17.749,17.803,17.991,18.141,0.000804,0.444,0.431,STAR
18.251,18.971,19.057,19.127,19.218,0.001454,0.71,0.544,STAR
19.095,19.303,19.509,19.565,19.681,2.716868,0.981,0.76,QSO
17.092,18.005,18.278,18.42,18.398,0.622084,2.379,2.031,GALAXY
19.953,20.376,20.735,20.997,21.314,0.262955,1.886,3.914,GALAXY
19.828,20.336,21.043,21.36,21.552,0.209971,3.943,1.9,GALAXY
18.335,18.436,18.556,18.705,18.716,0.00101,0.437,0.552,STAR
19.582,19.901,20.536,20.958,21.266,0.367827,2.48,3.168,GALAXY
16.212,16.636,16.8,17.09,17.222,0.000534,0.538,0.423,STAR
18.073,18.236,18.312,18.39,18.491,0.001715,0.149,0.389,STAR
17.866,18.384,19.198,19.332,19.596,0.257739,1.701,2.345,GALAXY
18.594,19.395,19.87,20.329,20.476,0.389746,2.194,2.024,GALAXY
20.591,20.931,21.098,21.118,21.213,0.755762,0.858,0.994,QSO
14.561,14.668,14.783,14.879,14.913,0.000687,0.438,0.696,STAR
17.125,17.518,17.75,17.779,17.882,0.001201,0.561,0.446,STAR
17.684,17.938,18.102,18.073,18.063,2.280312,1.16,1.509,QSO
16.83,17.035,17.445,17.572,17.514,0.145554,2.594,2.771,GALAXY
17.141,17.69,18.023,18.085,18.222,0.001194,0.397,0.413,STAR
23.508,24.35,24.81,24.838,25.248,0.262839,2.286,3.324,GALAXY
17.981,18.102,18.414,18.551,18.62,1.313136,1.208,0.565,QSO
16.988,17.059,17.016,17.242,17.28,0.000674,0.294,0.651,STAR
15.323,15.314,15.803,15.668,15.646,0.000453,0.466,0.566,STAR
18.169,18.38,18.522,18.509,18.541,0.001118,0.566,0.55,STAR
15.448,15.947,15.88,16.041,16.155,0.00085,0.486,0.345,STAR
16.643,17.02,17.195,17.476,17.667,0.127014,2.748,3.328,GALAXY
20.477,20.809,20.952,20.981,21.026,2.659818,0.878,0.415,QSO
22.389,22.571,22.696,22.915,22.999,1.860351,0.732,0.996,QSO
16.026,16.329,16.644,16.702,16.781,0.001282,0.638,0.44,STAR
22.188,23.03,23.219,23.254,23.559,0.446239,2.381,2.166,GALAXY
19.39,19.957,20.494,20.887,21.292,0.482636,1.698,3.913,GALAXY
19.338,19.696,19.82,20.089,20.371,0.512366,3.149,3.587,GALAXY
21.058,21.702,22.518,22.657,23.011,0.141302,1.349,1.772,GALAXY
19.532,19.565,19.973,19.905,20.01,0.000313,0.553,0.372,STAR
19.215,20.075,20.334,20.085,20.343,0.164614,4.008,2.155,GALAXY
16.685,17.581,17.714,18.247,18.489,0.40677,1.814,2.001,GALAXY
17.699,17.836,18.246,18.424,18.44,0.001786,0.495,0.347,STAR
16.759,16.855,17.031,17.385,17.533,0.000607,0.504,0.619,STAR
17.786,18.168,18.266,18.221,18.432,0.00124,0.574,0.175,STAR
23.229,23.701,23.828,24.075,24.233,0.353309,1.855,2.136,GALAXY
16.602,17.054,17.253,17.151,17.221,0.000752,0.553,0.47,STAR
17.94,18.339,18.308,18.507,18.554,-0.000392,0.406,0.415,STAR
19.109,19.959,20.211,19.68,19.673,0.455696,2.528,2.503,GALAXY
20.03,21.137,21.491,21.89,22.358,0.319716,2.565,3.3,GALAXY
16.659,17.093,17.187,17.256,17.389,0.000728,0.665,0.423,STAR
18.045,18.204,18.367,18.472,18.559,2.271034,0.912,0.904,QSO
23.566,23.723,24.213,24.444,24.698,0.257667,2.944,2.067,GALAXY
