u_mag,g_mag,r_mag,i_mag,z_mag,redshift,petroR50_u,petroR50_r,class
19.194,19.673,19.881,20.73,20.607,0.034022,2.862,2.835,GALAXY
16.244,16.451,16.469,16.711,16.803,0.001312,0.433,0.752,STAR
20.096,20.718,21.246,21.604,21.988,0.242853,1.406,3.234,GALAXY
22.327,23.074,23.531,23.955,24.217,0.321081,2.6,2.349,GALAXY
21.187,21.421,21.719,21.845,21.903,0.65587,1.406,0.966,QSO
17.157,17.813,17.875,18.502,18.57,0.204307,2.145,2.002,GALAXY
17.045,17.295,17.64,17.734,17.919,-0.000149,0.372,0.398,STAR
19.71,20.368,20.116,20.167,20.622,0.042806,1.372,2.24,GALAXY
19.587,20.127,20.53,21.173,21.648,-0.063653,2.898,2.091,GALAXY
19.758,20.669,21.001,21.338,21.357,0.27129,2.244,3.507,GALAXY
17.52,18.103,18.52,18.741,18.919,0.001391,0.537,0.426,STAR
22.626,23.178,23.675,24.062,24.343,0.89602,1.916,2.219,GALAXY
17.219,17.808,17.858,18.016,18.079,0.001441,0.499,0.585,STAR
18.48,18.689,18.86,18.919,19.063,0.000865,0.332,0.451,STAR
20.254,20.358,20.942,21.277,21.599,0.341281,3.103,2.294,GALAXY
18.401,18.571,18.669,18.784,18.811,0.000576,0.498,0.382,STAR
20.902,21.64,22.254,22.591,22.661,0.147876,3.471,2.619,GALAXY
15.705,16.256,16.666,16.752,16.919,0.001037,0.656,0.593,STAR
18.085,18.453,18.444,18.473,18.605,0.000971,0.291,0.58,STAR
16.987,17.61,17.791,18.03,18.176,0.000484,0.546,0.543,STAR
17.785,18.302,18.532,19.094,19.33,0.366108,1.781,2.156,GALAXY
15.677,15.956,16.133,16.48,16.672,0.000736,0.45,0.543,STAR
17.466,17.847,18.057,18.181,18.298,0.00101,0.432,0.759,STAR
20.262,20.468,20.596,20.703,21.227,0.321046,2.248,1.143,GALAXY
17.168,17.53,17.69,17.798,17.836,0.000834,0.693,0.492,STAR
15.386,15.45,15.655,15.658,15.749,2.958201,1.396,1.203,QSO
17.799,18.338,18.487,18.596,18.668,0.001286,0.39,0.537,STAR
15.528,15.974,16.123,16.251,16.344,0.001234,0.487,0.497,STAR
19.425,19.833,20.281,20.284,20.575,0.108803,2.636,3.322,GALAXY
20.646,21.565,22.012,22.321,22.48,0.624167,2.764,1.997,GALAXY
21.026,21.381,21.37,21.76,21.961,-0.158051,2.919,2.787,GALAXY
18.061,18.435,18.644,18.631,18.733,0.000604,0.647,0.58,STAR
21.834,22.466,22.849,23.151,23.477,0.232942,2.386,2.538,GALAXY
17.028,17.683,17.623,18.015,18.358,0.347686,3.371,4.074,GALAXY
16.83,17.176,17.619,17.685,17.838,0.146706,1.702,2.264,GALAXY
17.446,17.611,17.708,17.803,17.946,0.001378,0.362,0.389,STAR
16.278,16.405,16.466,16.399,16.532,0.001111,0.508,0.464,STAR
16.917,17.385,17.648,17.614,17.767,0.64317,2.845,1.719,GALAXY
19.139,19.546,19.526,19.644,19.665,0.000916,0.443,0.475,STAR
18.001,18.578,19.089,19.543,19.732,0.073436,1.494,1.064,GALAXY
20.756,20.757,20.732,20.861,20.957,2.906232,1.423,1.157,QSO
18.368,18.67,18.877,19.355,19.68,0.108998,2.798,2.175,GALAXY
19.39,19.576,20.159,20.581,20.679,-0.166798,3.163,1.847,GALAXY
18.582,19.046,19.609,20.061,19.977,0.293109,2.096,2.202,GALAXY
19.201,19.407,19.789,19.981,20.072,0.001552,0.368,0.509,STAR
15.271,15.702,16.132,16.397,16.406,-1.3e-05,0.387,0.485,STAR
19.452,20.101,19.91,20.282,20.308,0.585434,1.888,3.271,GALAXY
18.401,19.069,19.4,19.673,19.963,0.696247,3.878,2.428,GALAXY
15.581,15.813,15.971,16.238,16.379,0.001362,0.412,0.718,STAR
20.728,21.637,21.975,22.225,22.331,0.308364,2.462,1.541,GALAXY
19.601,20.24,20.561,21.026,21.338,0.204709,3.721,3.727,GALAXY
16.775,16.969,17.157,17.419,17.487,0.001061,0.462,0.585,STAR
16.93,16.956,17.039,17.203,17.221,2.201953,1.371,0.842,QSO
20.456,21.105,21.073,21.177,21.211,0.288308,2.387,3.331,GALAXY
18.138,18.106,18.187,18.365,18.534,0.000725,0.518,0.411,STAR
18.053,18.472,18.451,18.428,18.625,0.000918,0.677,0.337,STAR
17.632,17.663,17.81,17.968,18.098,0.000797,0.561,0.492,STAR
17.107,17.322,17.725,18.024,18.038,0.001363,0.374,0.421,STAR
19.889,20.621,20.666,20.864,21.098,0.443208,3.475,2.974,GALAXY
20.871,21.664,21.862,22.296,22.357,0.451911,3.292,3.302,GALAXY
16.153,16.373,16.616,16.507,16.686,0.001067,0.628,0.378,STAR
20.098,20.513,20.487,20.796,20.749,0.001448,0.559,0.557,STAR
19.887,20.38,21.398,21.694,22.162,0.074038,2.715,1.441,GALAXY
19.011,19.688,20.421,20.739,20.737,0.204456,3.558,2.853,GALAXY
18.458,18.808,18.761,18.972,19.381,0.373186,2.907,0.882,GALAXY
17.84,17.898,18.111,18.502,18.644,0.001107,0.554,0.675,STAR
15.94,16.152,16.382,16.527,16.424,0.000857,0.588,0.431,STAR
21.146,21.317,21.479,21.504,21.617,-0.208323,1.973,0.744,GALAXY
20.946,21.613,22.201,22.571,22.631,0.272247,2.378,2.253,GALAXY
18.201,18.687,18.638,18.896,19.147,0.001279,0.498,0.412,STAR
22.735,22.933,23.297,23.401,23.48,-0.045528,2.622,2.558,GALAXY
17.348,17.219,17.867,18.55,18.878,0.215148,1.583,2.871,GALAXY
17.982,18.215,18.587,18.861,18.988,0.0009,0.578,0.563,STAR
15.075,15.186,15.574,15.558,15.59,0.001464,0.587,0.579,STAR
18.13,18.112,18.277,18.383,18.388,0.661837,0.856,1.363,QSO
15.466,15.992,15.942,15.898,16.03,0.437695,1.038,0.987,QSO
18.315,19.068,19.608,19.854,20.289,0.717513,2.193,2.732,GALAXY
18.871,19.703,20.009,20.459,20.699,0.444941,2.246,3.224,GALAXY
19.272,20.417,20.867,21.325,21.422,0.205832,2.641,2.08,GALAXY
16.037,16.41,16.817,16.977,16.909,0.000795,0.515,0.661,STAR
21.136,21.95,22.064,22.318,22.483,0.465818,3.212,2.916,GALAXY
20.749,21.447,21.711,22.078,22.246,0.435184,2.271,0.852,GALAXY
20.461,21.165,21.972,22.504,22.695,0.492267,3.204,1.738,GALAXY
17.017,17.548,17.568,17.692,17.702,0.000617,0.571,0.506,STAR
15.211,15.333,15.312,15.479,15.581,0.00091,0.664,0.402,STAR
19.758,20.119,20.585,20.536,21.003,0.424342,1.641,1.96,GALAXY
20.136,20.92,21.376,21.66,21.639,0.285877,2.045,3.164,GALAXY
15.993,16.27,16.509,16.646,16.706,0.000628,0.604,0.466,STAR
18.86,19.459,19.866,20.087,20.115,-0.189854,1.85,2.581,GALAXY
19.591,20.17,20.496,21.182,21.236,0.215714,3.364,2.005,GALAXY
17.656,18.003,18.437,18.846,19.064,0.477283,2.347,4.053,GALAXY
18.782,19.499,19.931,19.902,20.086,0.227059,2.005,1.246,GALAXY
17.253,17.089,17.4,17.693,17.751,0.001575,0.429,0.51,STAR
19.908,19.886,19.929,20.245,20.408,0.000829,0.423,0.536,STAR
17.228,17.956,18.332,18.31,18.396,0.000881,0.611,0.482,STAR
21.917,22.505,22.872,23.142,23.28,0.401494,1.998,3.405,GALAXY
16.021,16.179,16.383,16.622,16.714,0.000221,0.438,0.668,STAR
19.075,19.324,19.448,19.696,20.023,0.000912,0.412,0.462,STAR
19.681,20.047,20.249,20.354,20.334,2.107283,0.827,1.514,QSO
18.727,19.614,20.322,20.767,20.948,0.042178,2.489,3.451,GALAXY
17.316,18.32,18.717,19.291,19.571,0.284411,2.764,1.672,GALAXY
21.146,21.823,22.08,22.164,22.453,0.34457,4.303,2.228,GALAXY
15.905,16.332,16.44,16.554,16.67,0.001387,0.503,0.537,STAR
15.56,15.89,15.951,15.957,16.084,-0.000237,0.416,0.539,STAR
19.193,19.727,20.027,20.221,20.261,0.001541,0.38,0.548,STAR
17.67,17.664,17.9,18.072,18.209,1.94993,0.808,0.61,QSO
17.825,18.599,18.867,18.866,19.163,0.327197,1.887,2.781,GALAXY
18.262,18.312,18.374,18.406,18.48,1.425927,0.39,0.906,QSO
17.838,18.146,18.411,18.588,18.619,0.001217,0.497,0.642,STAR
19.387,19.551,20.049,19.953,20.168,0.090404,2.25,2.37,GALAXY
19.119,19.792,20.111,20.501,20.797,0.613437,3.071,3.399,GALAXY
17.331,17.646,17.807,18.074,18.256,0.001675,0.391,0.302,STAR
16.449,16.478,16.568,16.61,16.668,0.000745,0.625,0.352,STAR
20.024,20.211,20.862,21.119,21.068,0.344172,3.155,2.233,GALAXY
17.4,17.909,18.276,18.323,18.405,0.652092,2.927,2.767,GALAXY
22.388,22.551,22.992,23.334,23.417,0.442898,2.982,2.944,GALAXY
17.774,17.876,18.707,19.199,19.174,0.209306,2.215,2.776,GALAXY
19.896,20.408,21.067,20.769,21.105,0.396968,2.986,1.541,GALAXY
16.754,16.915,17.219,17.595,17.702,0.510378,2.67,1.804,GALAXY
18.162,19.022,19.378,19.971,20.094,0.584943,0.785,3.322,GALAXY
20.225,20.67,20.789,21.514,21.75,-0.079095,2.279,1.001,GALAXY
17.396,17.584,17.547,17.742,18.062,0.001019,0.533,0.498,STAR
21.23,21.855,21.969,22.019,22.227,0.000969,0.707,0.668,STAR
17.962,17.932,18.274,18.458,18.615,0.000613,0.486,0.444,STAR
21.15,21.004,20.986,21.474,21.514,0.135632,0.959,2.431,GALAXY
19.117,19.812,19.992,20.769,21.004,0.145559,2.976,2.066,GALAXY
17.396,17.916,18.364,18.581,18.722,0.269017,3.311,3.557,GALAXY
18.713,19.474,20.029,20.436,20.457,0.306585,3.042,2.914,GALAXY
20.399,20.734,20.745,20.857,20.941,1.588239,1.328,0.938,QSO
14.753,15.243,15.4,15.66,15.742,0.000817,0.551,0.546,STAR
23.639,24.159,24.977,25.335,25.748,0.60637,1.804,3.237,GALAXY
15.151,15.621,16.018,16.193,16.346,0.171988,3.986,1.742,GALAXY
16.218,16.343,16.651,16.765,16.852,0.000712,0.697,0.518,STAR
19.654,19.89,20.045,20.034,20.034,0.218159,0.566,0.493,QSO
20.942,21.089,21.573,21.838,22.041,0.419643,3.578,3.095,GALAXY
12.549,12.959,13.143,13.263,13.351,2.314472,1.084,1.21,QSO
17.479,17.921,18.142,18.265,18.446,0.000872,0.466,0.461,STAR
16.924,17.366,17.546,17.589,17.721,0.000467,0.551,0.524,STAR
14.461,14.387,14.502,14.627,14.764,1.475296,1.046,0.34,QSO
17.057,17.497,17.782,17.958,18.098,0.000384,0.391,0.514,STAR
16.741,17.45,17.854,18.108,18.45,0.227461,3.58,3.012,GALAXY
16.838,17.354,17.534,17.562,17.676,0.000932,0.427,0.295,STAR
18.144,18.427,18.436,18.574,18.591,0.000156,0.533,0.542,STAR
15.69,16.258,16.67,16.936,17.062,0.368301,2.263,4.272,GALAXY
16.652,16.765,16.865,16.894,17.089,0.000978,0.543,0.462,STAR
18.202,18.99,19.428,19.923,20.237,0.939642,2.326,3.707,GALAXY
19.374,19.85,20.651,21.135,21.58,0.34502,3.063,3.593,GALAXY
21.199,21.371,21.461,21.522,21.619,2.395507,1.15,1.256,QSO
19.298,19.823,20.446,20.367,20.407,0.388829,2.096,3.174,GALAXY
22.557,22.703,22.869,23.056,23.105,0.97061,1.261,1.027,QSO
17.479,17.979,18.482,18.743,19.041,0.04277,0.938,1.646,GALAXY
19.102,19.41,19.782,20.179,20.271,0.124949,1.924,1.547,GALAXY
21.548,21.665,21.925,22.108,22.246,0.904234,1.422,1.159,QSO
16.934,16.676,16.713,17.072,17.352,0.456765,3.597,3.433,GALAXY
19.171,19.396,19.569,19.481,19.544,0.459925,1.162,1.464,QSO
19.229,20.19,20.654,20.869,21.177,0.479221,3.516,0.466,GALAXY
16.985,17.145,17.415,17.671,17.811,0.001168,0.43,0.648,STAR
16.239,16.357,16.56,16.704,16.756,1.958272,1.562,0.641,QSO
17.342,17.929,18.086,18.316,18.396,0.001275,0.498,0.558,STAR
18.449,19.159,19.372,19.329,19.682,0.385619,2.748,3.26,GALAXY
17.856,18.335,18.883,19.248,19.492,0.754545,3.162,2.453,GALAXY
17.737,17.428,17.686,17.968,18.301,0.209095,3.258,2.542,GALAXY
18.561,19.637,20.184,20.507,20.673,0.206392,2.968,3.088,GALAXY
21.656,21.658,22.325,22.87,23.126,0.632362,2.633,2.677,GALAXY
18.291,18.384,18.51,18.68,18.824,2.685543,0.561,0.714,QSO
17.201,17.565,17.779,17.97,18.229,0.3236,3.36,2.007,GALAXY
17.712,18.735,19.438,19.798,19.919,0.382091,2.228,1.854,GALAXY
20.051,20.734,21.242,21.503,21.757,0.065963,2.97,2.62,GALAXY
18.747,19.084,19.32,19.449,19.521,2.033013,1.114,0.988,QSO
17.78,18.106,18.268,18.41,18.545,0.000631,0.493,0.51,STAR
20.393,20.376,20.343,20.467,20.553,0.359502,0.761,0.564,QSO
19.974,20.081,20.63,20.643,21.148,0.234701,3.125,2.4,GALAXY
18.61,18.755,18.817,18.899,19.002,0.000836,0.264,0.535,STAR
18.984,19.467,19.75,19.991,20.218,0.00093,0.593,0.519,STAR
18.998,19.065,19.719,20.196,20.457,0.401978,2.542,3.806,GALAXY
18.135,18.245,18.35,18.705,18.82,0.000807,0.573,0.512,STAR
18.702,19.362,19.412,19.617,19.909,0.143445,3.738,3.274,GALAXY
21.947,22.247,22.691,22.952,23.024,0.198714,1.924,1.634,GALAXY
13.838,14.164,14.142,14.232,14.241,0.00119,0.601,0.524,STAR
18.416,18.784,18.949,19.091,19.035,0.00113,0.486,0.477,STAR
22.781,23.48,23.76,24.332,24.431,0.339317,3.373,3.364,GALAXY
20.195,20.515,20.85,21.063,21.533,0.366056,1.754,3.543,GALAXY
16.491,16.981,17.611,17.959,17.924,0.291339,3.176,3.47,GALAXY
14.957,15.189,15.608,15.72,15.833,0.000258,0.462,0.529,STAR
18.125,18.804,18.828,19.036,19.093,0.001035,0.457,0.58,STAR
17.268,17.611,17.715,17.924,18.108,0.001145,0.465,0.387,STAR
15.489,15.465,15.79,16.001,15.938,0.001636,0.515,0.377,STAR
21.141,21.47,22.0,22.162,22.129,0.109549,1.923,1.877,GALAXY
17.164,17.538,17.623,17.825,17.995,0.000335,0.496,0.399,STAR
15.503,15.525,15.863,16.044,16.15,0.001028,0.663,0.457,STAR
17.304,17.64,17.677,17.903,17.99,0.00128,0.475,0.705,STAR
22.094,22.464,22.896,23.316,23.72,0.250264,3.528,2.101,GALAXY
14.239,14.291,14.511,14.625,14.704,2.354399,1.044,1.388,QSO
19.581,19.986,20.018,20.202,20.309,2.02919,0.928,0.876,QSO
22.06,22.472,22.411,22.872,23.15,0.121056,2.313,1.599,GALAXY
17.107,17.406,17.832,18.254,18.668,0.296467,3.252,1.801,GALAXY
19.932,19.782,19.969,19.996,20.069,0.297077,0.711,1.006,QSO
18.912,19.207,19.772,20.285,20.519,0.828581,2.061,2.013,GALAXY
16.997,16.963,17.112,17.266,17.508,0.00138,0.435,0.522,STAR
17.497,17.719,17.542,17.638,17.672,0.001523,0.433,0.678,STAR
22.534,22.764,23.333,23.769,23.866,0.268273,2.052,0.857,GALAXY
18.075,18.755,19.219,19.394,19.713,0.244884,2.741,1.646,GALAXY
18.099,18.285,18.763,18.911,18.917,0.001355,0.426,0.484,STAR
19.931,20.195,20.408,20.6,20.709,0.000573,0.688,0.496,STAR
18.833,18.787,19.278,19.546,19.833,0.314668,2.099,1.92,GALAXY
17.466,17.841,17.947,18.075,18.206,0.001031,0.402,0.465,STAR
19.181,19.178,19.088,19.271,19.381,1.543833,1.206,1.236,QSO
17.533,17.783,18.517,18.72,18.934,-0.250007,1.691,2.971,GALAXY
17.519,17.803,18.325,18.646,18.814,0.526916,2.153,1.989,GALAXY
19.44,20.093,20.411,20.653,20.916,0.51697,2.858,3.793,GALAXY
16.642,16.817,17.216,17.492,17.45,0.000318,0.554,0.385,STAR
20.501,20.569,20.846,20.987,21.26,0.225601,1.231,3.546,GALAXY
18.441,18.682,18.791,18.787,18.874,1.076348,1.113,0.871,QSO
19.485,19.569,20.139,20.575,20.88,0.285889,2.762,4.112,GALAXY
18.215,18.84,19.099,19.56,19.716,-0.000404,2.084,2.855,GALAXY
16.478,16.94,17.016,17.616,17.834,0.310758,1.907,3.255,GALAXY
21.051,21.633,22.083,22.228,22.26,0.027375,1.222,1.549,GALAXY
20.924,21.884,22.3,22.416,22.501,0.425366,2.682,3.015,GALAXY
18.009,18.661,18.938,19.424,19.745,0.311892,2.374,3.605,GALAXY
18.869,18.922,19.159,19.351,19.536,0.32433,2.419,2.676,GALAXY
19.295,20.123,21.057,21.694,21.869,0.072837,1.744,2.984,GALAXY
18.158,18.92,19.138,19.416,19.526,0.141202,3.457,2.214,GALAXY
21.058,21.335,21.751,22.285,22.294,0.003668,0.46,1.758,GALAXY
17.815,18.412,18.819,19.023,19.374,0.01362,1.928,1.466,GALAXY
16.681,17.343,17.491,17.484,17.487,0.001213,0.441,0.419,STAR
19.569,20.178,20.682,20.788,21.044,0.635025,3.021,3.01,GALAXY
20.425,20.986,21.453,21.376,21.649,0.184219,2.553,2.892,GALAXY
16.644,16.971,17.172,17.254,17.366,0.000966,0.393,0.612,STAR
18.116,18.498,18.623,18.672,18.867,0.454176,3.756,1.442,GALAXY
18.98,19.331,19.648,19.914,20.025,0.001311,0.39,0.458,STAR
17.116,17.297,17.383,17.761,18.006,0.000431,0.573,0.603,STAR
19.231,19.596,19.766,19.899,20.03,2.250644,1.205,0.875,QSO
17.917,18.123,18.504,18.687,18.725,0.544545,1.649,2.675,GALAXY
17.106,17.452,17.785,17.934,17.946,1.690235,1.245,1.724,QSO
17.756,18.267,18.359,18.471,18.487,0.000862,0.605,0.493,STAR
17.971,18.626,18.821,18.859,18.96,3.494924,0.672,0.966,QSO
21.056,21.551,21.807,22.299,22.461,0.212081,2.45,1.613,GALAXY
17.131,17.259,17.236,17.52,17.737,0.000807,0.53,0.671,STAR
19.986,20.483,20.44,20.289,20.577,0.388241,4.043,2.5,GALAXY
19.03,19.597,19.762,20.023,20.04,0.422063,2.137,1.618,GALAXY
18.598,19.132,19.307,19.396,19.422,0.00121,0.427,0.661,STAR
14.841,15.528,15.768,15.824,15.932,0.001374,0.529,0.6,STAR
18.541,19.156,19.375,19.664,19.864,0.081791,1.48,3.077,GALAXY
16.903,16.985,17.059,17.215,17.392,1.379501,1.216,0.566,QSO
18.971,19.083,19.252,19.347,19.374,2.284301,0.881,1.499,QSO
20.263,20.525,20.561,20.912,20.963,0.265762,2.358,3.812,GALAXY
19.449,19.876,20.041,20.152,20.229,0.001047,0.673,0.349,STAR
18.917,19.282,19.498,19.557,19.648,0.001735,0.448,0.604,STAR
17.227,17.573,17.847,18.094,18.271,0.000901,0.339,0.424,STAR
17.063,17.303,17.647,17.911,18.097,0.001451,0.608,0.586,STAR
20.001,20.061,20.446,21.103,21.673,0.025755,3.638,1.168,GALAXY
17.661,18.464,18.707,19.004,19.353,0.284151,2.053,2.387,GALAXY
19.916,20.558,20.861,21.219,21.254,0.573265,2.425,2.783,GALAXY
18.4,18.807,19.095,19.11,19.128,0.001739,0.348,0.553,STAR
22.373,23.237,23.755,24.151,24.559,0.284492,2.501,1.697,GALAXY
19.478,20.023,20.389,20.473,20.682,0.584762,2.363,3.662,GALAXY
17.762,18.072,18.317,18.369,18.503,0.000849,0.628,0.556,STAR
16.273,16.599,16.906,17.073,17.148,0.000698,0.472,0.55,STAR
20.047,20.09,20.139,20.49,20.823,0.591659,1.77,1.512,GALAXY
19.264,19.309,19.817,19.927,20.121,0.372906,2.303,1.655,GALAXY
19.19,19.575,19.736,19.836,19.946,0.000618,0.499,0.49,STAR
19.829,20.242,20.519,20.52,20.857,0.323605,2.514,2.105,GALAXY
18.346,18.728,18.95,19.134,19.203,0.001859,0.622,0.227,STAR
12.635,13.095,13.707,14.044,14.225,9.2e-05,0.617,0.691,STAR
17.23,17.814,18.455,18.639,18.883,0.677177,3.126,2.53,GALAXY
15.755,16.24,16.295,16.346,16.45,0.00162,0.528,0.498,STAR
17.98,18.365,18.395,18.469,18.388,0.00118,0.38,0.471,STAR
15.656,15.906,16.277,16.918,17.061,0.328074,2.73,1.994,GALAXY
18.678,19.091,19.646,20.231,20.447,0.183635,3.121,2.914,GALAXY
21.082,21.27,21.715,22.054,22.341,0.237135,1.197,1.346,GALAXY
20.191,20.36,20.836,20.932,21.18,0.044577,1.815,1.965,GALAXY
21.423,21.913,22.406,22.547,22.831,0.470852,3.113,1.503,GALAXY
18.211,18.519,18.734,18.758,18.797,0.000467,0.659,0.659,STAR
15.926,16.427,16.567,16.642,16.754,1.725274,1.319,0.978,QSO
20.015,20.652,20.779,20.725,20.786,0.230642,2.42,2.462,GALAXY
19.894,20.346,20.731,20.704,20.845,-0.03353,1.973,3.072,GALAXY
21.298,21.59,21.975,21.964,22.095,-0.170697,3.095,2.218,GALAXY
15.022,15.529,15.511,15.561,15.687,0.000916,0.431,0.595,STAR
19.377,19.684,19.947,19.896,19.983,1.224793,1.023,0.81,QSO
16.641,17.196,17.263,17.58,17.651,0.000646,0.5,0.468,STAR
20.467,21.229,21.78,22.02,21.94,0.300241,1.512,2.388,GALAXY
17.662,18.135,18.091,18.138,18.344,0.001135,0.439,0.519,STAR
17.134,17.472,17.697,17.811,18.009,0.001375,0.632,0.471,STAR
19.353,19.823,20.44,20.738,21.084,0.311632,1.676,3.599,GALAXY
15.48,15.855,16.071,16.121,16.244,0.001141,0.631,0.446,STAR
18.156,19.029,19.689,20.078,20.293,0.241057,1.471,3.437,GALAXY
18.979,19.238,19.184,19.349,19.407,0.001312,0.501,0.497,STAR
17.086,17.542,17.727,17.749,17.799,0.000547,0.545,0.605,STAR
17.879,18.378,18.73,18.714,19.064,0.297435,2.531,1.551,GALAXY
14.638,14.732,14.954,15.097,15.116,2.341451,0.916,1.475,QSO
22.238,22.331,22.553,22.743,22.762,1.322439,1.053,1.189,QSO
18.955,19.585,19.743,19.853,20.001,0.000584,0.62,0.678,STAR
17.834,18.21,18.121,18.39,18.403,0.000906,0.462,0.51,STAR
20.079,19.898,19.903,20.014,20.094,0.000864,0.653,0.444,STAR
15.187,15.286,15.519,15.662,15.757,0.000249,0.694,0.531,STAR
19.786,20.97,21.652,21.676,22.057,0.622656,2.434,2.782,GALAXY
20.909,21.411,21.893,22.176,22.164,0.244178,3.409,4.697,GALAXY
19.45,20.204,20.648,21.322,21.559,0.396686,2.589,1.12,GALAXY
15.459,15.667,15.751,15.788,15.894,0.001733,0.722,0.494,STAR
15.694,16.385,16.858,17.086,17.235,0.000982,0.417,0.658,STAR
