u,g,r,i,z,redshift,temperature,logg,metallicity,class
21.05714,20.43447,19.53512,19.92937,18.40916,0.71672,7100.94366,4.3822,0.16328,QSO
17.48142,19.04019,20.05452,20.32916,18.05194,2.23983,4146.73875,3.8451,-0.20904,QSO
19.75033,21.29217,19.50461,18.52955,17.35923,0.05678,6341.94143,3.99129,-0.59098,GALAXY
19.23756,18.07626,18.87702,17.92851,18.33616,1.45326,6931.48103,3.41996,-0.12177,QSO
20.4776,20.49387,19.0069,19.49057,19.62134,0.06859,5446.71284,4.04248,0.37067,GALAXY
21.06039,20.67434,20.62899,18.74599,18.59261,0.08147,5666.77919,2.41413,-0.03686,GALAXY
22.85937,20.98155,18.91009,19.7337,19.2103,0.20404,6727.55454,3.69983,-0.32786,GALAXY
20.44803,18.20344,20.32232,20.78925,17.02533,0.48348,6348.52981,4.55081,-0.09221,GALAXY
19.38236,16.79354,16.29803,17.60116,17.10839,0.10803,5563.97524,4.20077,-0.3162,STAR
17.62551,16.9474,18.38212,16.18209,16.1874,0.0072,5134.18222,4.74109,-0.27699,STAR
16.88219,17.92874,17.73215,17.28904,16.99821,0.24156,5663.77687,4.48508,-0.11261,STAR
17.95945,17.62082,15.92502,16.46722,15.8314,0.05801,8295.11222,4.48908,0.01071,STAR
18.84795,17.02054,17.06082,16.45915,16.58597,0.00521,4527.8934,4.88743,-0.39613,STAR
18.73892,16.91678,16.9494,17.26224,16.42402,0.02919,6822.8879,4.21711,0.20214,STAR
19.68283,21.67469,20.71027,19.15504,18.48568,0.11537,6084.58257,2.41904,-0.83839,GALAXY
17.45991,17.1806,17.85092,16.97748,16.82496,0.18784,5703.75809,4.52044,0.14611,STAR
18.10593,18.74437,19.47623,19.37328,19.2657,1.86774,4079.55973,3.57905,-0.28131,QSO
18.33306,16.80028,17.08086,15.93552,15.76458,0.07984,6575.03767,4.7272,-0.18609,STAR
21.47959,19.59685,18.6486,18.54573,19.63539,0.49153,4802.43989,3.04989,0.36884,GALAXY
21.00267,20.49191,21.15434,18.65306,20.1872,0.16236,4384.89307,3.61186,0.30563,GALAXY
20.79065,20.8858,19.46913,18.30743,19.10827,1.09065,6329.24564,4.16267,-0.41211,QSO
20.7015,17.80657,19.60187,16.92001,18.69393,1.43154,7216.96588,3.95678,-0.16714,QSO
21.99453,20.25786,19.82664,18.59999,20.23007,0.06853,5046.29819,1.8922,-0.86575,GALAXY
16.67974,17.60346,17.34569,16.57326,15.3808,0.10972,2738.74976,4.67315,-0.15132,STAR
17.85219,17.0538,17.46466,16.57304,15.889,0.07306,6475.76652,4.79826,-0.13967,STAR
21.3133,21.01958,20.01627,17.93431,18.80941,0.27234,5372.57994,3.68565,-0.17447,GALAXY
18.12184,18.15282,17.23691,16.87302,16.31504,0.02515,6847.99139,4.65902,0.33421,STAR
18.6631,17.66193,16.15018,16.73494,16.94081,0.13483,6462.91184,3.41895,-0.29962,STAR
20.89664,19.33839,20.33072,18.34265,18.78214,0.46229,3372.46824,3.05779,0.28799,GALAXY
21.00914,18.88028,17.89807,19.58102,17.43367,0.13633,4206.74387,3.82632,-0.02302,GALAXY
18.96314,17.35876,16.94442,16.43966,15.8823,0.0948,3689.34274,4.85024,-0.23767,STAR
21.57438,18.46813,18.7234,19.33599,17.47645,0.97577,5011.70331,3.03144,0.48277,QSO
19.31366,20.471,18.41311,18.14047,18.09463,0.237,6470.26881,3.42771,0.03758,GALAXY
20.60611,19.50595,18.03845,18.32491,19.00661,0.41024,4825.89475,3.92477,-0.76685,GALAXY
20.8866,20.5315,19.13105,19.33093,18.05875,0.40959,4731.78851,3.37136,0.10159,GALAXY
20.98871,18.97307,19.42311,18.61395,17.23633,0.31549,5893.84468,2.9542,-0.10544,GALAXY
18.64522,18.08087,17.06178,17.17585,15.85479,0.21133,5533.71629,4.67254,0.16567,STAR
18.53965,20.3008,16.96852,18.0205,18.6244,1.80215,8786.22022,2.706,0.30639,QSO
19.00381,17.942,15.68453,16.22889,16.17545,0.13674,5094.00363,3.75669,-0.1805,STAR
20.17867,18.27531,17.72955,18.75276,18.20622,1.79513,7301.84366,2.69598,-0.72896,QSO
18.87447,17.1575,16.42044,17.71486,16.78416,0.02264,2500,4.333,-0.24082,STAR
17.63268,19.05639,16.19336,15.68418,16.84518,0.18622,6184.93919,4.39933,0.03702,STAR
17.79976,17.39918,15.56521,16.6912,16.19194,0.17529,7221.5647,4.42463,-0.50489,STAR
20.68765,20.24928,19.21039,19.94088,17.93103,0.01087,5687.4767,4.09575,-0.18703,GALAXY
18.27305,17.1408,16.98089,16.36839,16.13356,0.12968,5646.94503,4.53032,-0.00099,STAR
18.30378,17.92866,16.52163,15.698,15.56122,0.07529,5561.61141,4.18175,-0.42261,STAR
17.40315,18.12435,17.31602,16.87319,16.61205,0.25185,7280.83963,3.66167,0.10119,STAR
22.12682,19.46761,19.97205,18.88651,17.73868,0.04386,6477.63775,3.56215,-0.52559,GALAXY
21.1333,19.61138,18.77304,20.11897,17.64093,0.23216,4735.08812,3.43961,-0.52025,GALAXY
17.90411,18.77304,16.53946,15.79419,16.69126,0.1602,7784.48392,4.33426,0.11209,STAR
18.14975,18.49824,17.77299,15.77851,15.72628,0.33076,8415.83163,4.15656,-0.5885,STAR
18.14361,16.60895,17.04928,16.18831,15.84353,0.2135,7233.91324,4.76873,-0.10309,STAR
18.20313,17.93525,16.83849,16.49461,17.00498,0.09253,6725.67883,4.05816,0.13198,STAR
19.25979,19.33434,20.91412,18.06311,18.63982,1.2412,12142.60182,3.69845,-0.73022,QSO
18.54609,17.69561,17.63093,17.39134,16.6401,0.3151,6607.11239,4.73688,-0.11815,STAR
19.96967,19.20391,19.55808,19.36857,17.36185,0.16729,6639.9333,4.26051,0.20932,QSO
19.55547,19.73112,19.06985,18.94225,18.04052,0.22015,5720.23355,2.52079,-0.77521,GALAXY
16.47179,17.63421,16.51445,16.13491,16.75686,0.0869,7134.45205,4.48095,-0.49676,STAR
15.72985,17.22697,17.07563,16.61765,17.07693,0.31879,7386.45048,4.29689,0.25522,STAR
16.94319,17.20598,17.1215,15.87612,16.45338,0.0312,7824.29558,3.90481,-0.17409,STAR
18.08093,17.62491,16.62739,16.99926,16.99708,0.21192,5353.86673,4.53994,-0.44373,STAR
18.31591,17.73571,16.57854,14.9267,16.08511,0.19404,5932.95766,4.41708,-0.25585,STAR
18.37092,17.63614,17.15459,17.81617,16.70653,0.13814,7066.33879,4.24301,0.18856,STAR
21.4236,21.25399,20.49441,19.25616,19.12525,0.39474,4270.17035,3.31106,-0.57395,GALAXY
18.57096,17.93861,16.9592,17.0194,16.31556,0.17308,3402.51621,4.43143,0.22629,STAR
21.62819,19.66709,19.47781,19.93639,17.48737,0.39997,6376.031,3.74088,-0.93557,GALAXY
20.5445,19.89064,19.53116,19.88588,18.59341,0.0999,5591.94469,3.05162,0.26126,GALAXY
20.87928,19.84325,18.51822,18.48973,19.14946,0.30376,6659.59579,3.49702,-0.62511,GALAXY
18.50702,20.58533,19.64285,18.88861,16.66601,1.01863,6327.84386,4.33606,-0.34346,QSO
20.93275,19.82474,20.29863,19.15348,16.82019,1.38517,6380.88488,5.07387,0.10506,QSO
16.5839,15.98346,15.72147,16.01475,15.54725,0.1047,7502.9107,3.99347,-0.53136,STAR
17.5915,17.40319,16.37629,16.92827,16.68482,0.10177,5702.6391,4.43038,-0.27322,STAR
18.27733,17.87502,17.39389,17.02066,17.31434,0.31134,5388.65937,3.83869,-0.26282,STAR
20.37345,19.06955,20.53863,18.94213,19.09926,1.17449,2500,4.68751,-0.40599,QSO
18.04773,16.3471,16.78607,16.22599,16.19486,0.07698,6039.71079,4.64,0.30495,STAR
18.56008,16.69701,18.10415,17.4192,17.80317,0.16635,6099.35868,4.0056,-0.24118,STAR
19.45582,18.67529,18.58425,19.25968,17.81046,0.26598,5591.1476,4.76821,-0.352,GALAXY
19.59997,19.82825,21.24425,18.7053,17.17649,0.2052,6791.85029,2.24772,0.55311,GALAXY
17.47811,18.33969,17.70998,15.36252,16.72204,0.12832,7067.62226,4.79249,-0.21455,STAR
17.36384,17.56862,17.28676,16.62808,16.49979,0.12346,7258.68458,4.43877,-0.17508,STAR
20.86524,20.54413,18.86128,20.00309,19.26937,0.40918,5992.03885,3.67341,-0.08336,GALAXY
18.53955,17.87637,19.34168,17.51828,16.71974,2.10862,9400.09907,4.72378,-1.19711,QSO
22.12218,20.80815,18.55855,19.32028,18.7762,0.06929,6461.33889,3.34813,0.49732,GALAXY
20.06972,20.45905,21.10879,19.55669,18.37561,0.14407,4745.92612,4.51732,-0.38311,GALAXY
17.2709,17.36783,17.10874,17.35415,15.92325,0.20548,4273.78945,4.13116,-0.19042,STAR
22.30527,18.84464,19.31104,18.49241,18.07017,0.12229,5206.68236,3.82357,-0.26869,GALAXY
18.08518,17.50493,17.11305,17.40606,16.36361,0.10875,6246.10114,4.69285,-0.08155,STAR
21.2108,19.34568,19.11118,18.99332,17.61603,0.21676,5374.77036,3.02901,-0.67576,GALAXY
20.56572,18.81057,18.44408,19.49193,19.18805,0.25264,5595.10041,3.41066,-0.62868,GALAXY
19.70474,20.62705,20.10707,19.35553,19.04592,0.50624,3749.42662,2.9305,-0.25868,GALAXY
19.98227,18.86497,18.6602,20.68494,18.68494,0.20361,4729.94988,3.59662,0.41337,GALAXY
17.5428,21.53164,19.72286,19.00407,18.19061,1.29079,5620.48391,4.95806,-0.07943,QSO
19.28926,18.94485,19.81795,19.11072,18.99874,1.90698,8512.71182,4.25489,-0.29138,QSO
19.19364,17.75542,16.71414,16.73139,16.32755,0.21001,7694.3701,3.93062,-0.02911,STAR
17.79787,16.49546,16.64928,16.05926,15.67465,0.33137,5212.38803,4.61347,-0.28705,STAR
21.09406,20.29336,19.37696,20.0329,20.15967,0.21186,5951.97867,2.76287,0.28436,GALAXY
18.46234,17.73296,18.614,17.07995,18.17671,1.41239,12983.38031,3.02019,0.03373,QSO
18.89207,17.31752,16.39195,17.82981,16.82305,0.11803,5717.88726,4.66515,-0.12428,STAR
20.44032,19.8838,18.34096,20.2099,19.15553,0.07372,5332.96766,3.22694,-0.56592,GALAXY
20.60023,20.35506,20.54071,19.66032,20.15202,0.33177,3517.17122,3.18166,-0.10486,GALAXY
17.70287,16.69459,17.42652,17.13308,16.88093,0.00799,7094.75644,4.75691,0.06327,STAR
17.26,17.0497,16.79248,16.92307,15.42011,0.02996,6283.65686,4.61716,-0.24773,STAR
19.93423,19.47446,17.43007,17.81881,18.2345,1.17326,7510.12859,3.93453,-0.69333,QSO
18.36941,17.03225,16.36822,16.87691,16.3244,0.16215,7164.76008,3.95653,-0.00016,STAR
17.54393,17.81679,17.97988,16.65191,16.14517,0.28849,7742.15255,3.78421,0.32446,STAR
19.64001,17.12244,19.40939,19.73516,18.50008,1.17495,6053.37605,4.18651,-0.60452,QSO
17.84633,17.25327,16.01138,16.81648,16.66954,0.09587,6799.17884,5.03499,-0.16701,STAR
19.08193,16.8902,16.27046,16.70398,16.38122,0.25465,5315.17063,4.42571,0.14932,STAR
19.29871,16.33184,18.11228,15.02257,16.26404,0.21601,5462.0964,4.1867,0.01496,STAR
20.95179,20.08139,18.57192,19.24947,17.66127,0.36932,5726.51759,3.38516,-0.02832,GALAXY
20.41568,20.93989,19.1976,19.12865,18.56597,0.27434,4162.06571,3.95306,-0.21471,GALAXY
18.93277,18.66653,17.8056,17.06963,16.49722,0.01212,4846.94553,4.24532,-0.03007,STAR
17.31132,17.0871,17.59247,15.80641,17.04689,0.26268,6308.36017,4.89143,-0.11684,STAR
18.11341,18.41345,16.78142,16.90082,15.239,0.0979,3040.32728,4.28114,-0.35929,STAR
20.5757,20.57866,19.42942,18.04454,18.95992,0.70783,9668.02185,3.59023,-0.13368,QSO
18.47644,17.37384,17.24259,16.47536,16.12902,0.19196,6029.78676,3.72159,-0.11672,STAR
18.3895,18.99263,18.51299,19.82155,19.15321,0.2591,3505.37148,3.42008,0.12892,GALAXY
20.75042,19.13895,21.03946,19.40074,17.9372,0.16829,5389.38852,3.58377,-0.81732,GALAXY
21.02019,21.5919,20.06305,18.49544,18.18963,0.22088,5494.1609,3.03492,0.29344,GALAXY
17.12742,16.83746,17.0287,17.5958,15.91969,0.01786,5110.11157,4.08574,0.2902,STAR
16.88461,18.45032,15.92094,16.84365,15.21478,0.29561,5603.51866,3.91948,0.14659,STAR
19.4405,16.86507,16.68158,16.91993,16.26092,0.46585,6806.20626,4.20931,-0.5302,STAR
18.84161,16.97131,16.7695,17.38361,16.67207,0.08345,7855.07144,4.22927,-0.0664,STAR
20.85609,18.61077,19.21946,18.59333,18.31403,0.17019,4053.37962,3.57223,-0.62633,GALAXY
19.28085,20.45725,18.54695,18.17487,19.19704,0.12984,5146.80169,4.02634,-0.59518,GALAXY
18.87723,17.57479,16.604,16.44022,15.76012,0.04073,5105.51465,4.37174,-0.10573,STAR
18.34851,17.47861,16.05669,16.59107,15.63367,0.01739,6861.02095,4.95761,-0.35469,STAR
20.36144,19.82868,19.59216,20.1064,20.50461,0.47702,6673.40757,3.32704,-0.59398,GALAXY
20.80017,21.10682,19.15061,20.03601,18.59577,0.17057,5170.44611,2.3183,-0.6226,GALAXY
19.2396,18.46324,17.35352,16.64259,16.39441,0.00328,5324.31976,3.91092,-0.17915,STAR
19.4148,17.64663,18.9311,18.2068,17.49691,1.66037,5313.89994,3.71973,-0.30533,QSO
17.98771,18.23005,17.05092,16.1023,16.73223,0.05276,2882.22901,3.9829,-0.29093,STAR
17.29707,17.38861,16.88726,15.94518,16.37764,0.02266,3153.07431,4.12488,-0.19628,STAR
18.8942,16.9252,17.44886,15.6315,16.74162,0.04892,5835.88346,4.2229,0.09865,STAR
17.51742,16.74373,17.74417,18.0581,15.71611,0.16235,5040.28227,4.37482,-0.02435,STAR
18.63014,20.97175,19.0995,18.3881,18.81263,0.23382,3850.28244,2.43943,-0.25102,GALAXY
18.51621,18.75799,15.22633,16.6809,16.8468,0.10869,4230.56254,4.76991,0.18314,STAR
17.64034,18.1365,17.82985,19.02753,20.28013,1.51508,7636.99529,3.05097,-0.71172,QSO
18.00567,16.73998,16.7256,16.33239,16.02243,0.25442,4333.36899,3.78223,-0.11228,STAR
19.56003,19.95196,20.20477,19.74791,18.20868,0.01675,5277.19491,3.19439,0.49869,GALAXY
18.4689,16.7456,17.82069,15.3828,15.68832,0.2859,6064.32217,5.00805,0.43902,STAR
19.17295,16.81522,16.12767,17.55162,15.69346,0.17252,6221.27275,4.06306,0.73578,STAR
21.02384,22.08908,19.56867,19.6976,18.22143,0.25891,5500.80456,2.92627,-0.11331,GALAXY
19.03569,17.39989,15.95003,16.86362,16.12346,0.07582,5271.16753,4.84834,-0.02263,STAR
20.41244,20.63377,18.6492,18.89764,19.81619,0.08961,3890.89291,3.09002,-0.10313,GALAXY
18.85901,17.38507,16.31358,16.23996,16.82668,0.36305,6701.05452,4.12885,-0.07623,STAR
17.59022,17.87885,16.37934,16.40312,17.05533,0.10924,4786.05191,4.34044,-0.19615,STAR
21.86965,21.34377,18.5132,20.18902,18.66089,0.19114,5164.11764,3.20555,-0.92565,GALAXY
20.6549,16.96666,20.28798,18.14671,18.77055,2.30165,10449.76831,3.36506,-0.2968,QSO
17.55324,17.3768,16.69988,15.50932,16.59338,0.02274,2585.71842,4.1714,0.02408,STAR
20.28946,19.97359,18.93395,19.63332,19.354,0.05947,6703.75949,4.25416,-0.52234,GALAXY
17.93001,17.62753,16.418,17.25101,15.76808,0.44181,7274.44931,4.59982,0.33776,STAR
20.60891,20.40092,19.25354,19.23395,18.37775,0.2451,5580.87171,4.05013,-0.64595,GALAXY
18.76607,16.49669,17.67261,16.86854,16.3547,0.06911,7086.42065,4.49281,-0.06924,STAR
19.37112,19.03543,20.52087,19.21599,18.56851,0.15867,7407.14553,3.21653,-0.50298,QSO
18.36004,17.25225,16.25458,16.30864,15.56029,0.12408,6717.48408,3.97408,0.09941,STAR
19.81232,19.20671,17.99286,18.53098,16.13447,1.62738,5163.95369,4.30679,0.04917,QSO
20.93655,19.78022,20.52228,18.37379,19.27869,0.27179,6100.6926,3.54151,-0.70265,GALAXY
17.7963,17.91155,17.54658,16.11484,18.0304,0.08781,3678.47912,3.8245,0.08265,STAR
19.31049,21.18329,19.69929,19.7803,17.951,1.71593,6955.1914,3.74354,-0.61902,QSO
21.04831,22.88242,19.33098,20.49674,17.48603,0.02368,5173.05736,3.86266,-0.2697,GALAXY
19.4269,17.02189,16.06373,15.70246,15.99245,0.08073,6958.35142,4.41172,-0.34205,STAR
18.48384,18.21096,17.08439,16.17155,15.86641,0.11231,6818.48532,4.3732,0.12481,STAR
19.88829,19.52295,18.83582,20.25084,19.45678,0.33343,4693.90861,2.56847,-0.46909,GALAXY
17.93639,19.44805,19.23974,20.17669,19.60177,1.69474,7176.24386,3.93852,-0.35768,QSO
17.68079,19.16051,16.813,16.40899,16.17914,0.09605,7911.92517,4.39988,-0.19379,STAR
21.26555,21.27052,19.00056,19.52207,18.95864,0.28481,5201.71052,3.78258,0.11837,GALAXY
18.47435,16.75472,17.05302,16.44095,16.68673,0.19413,6952.27956,3.42585,0.07201,STAR
18.38006,17.51756,16.50669,17.78691,15.07416,0.15171,4109.48974,4.26383,0.3546,STAR
21.50265,20.23503,20.37351,18.85134,18.82179,0.0224,5829.68702,2.90043,-1.06679,GALAXY
20.16256,19.43049,19.10133,19.65603,18.80537,0.22036,4828.207,3.93828,-0.17592,GALAXY
17.14197,17.20892,19.02198,18.648,18.12569,0.53407,9364.94726,3.81236,0.51126,QSO
17.58913,16.54753,16.86026,16.61489,16.05239,0.25075,5299.04312,5.18816,-0.43275,STAR
18.42545,20.31724,20.93359,17.23904,17.55133,2.32553,7578.03769,4.48448,-0.58318,QSO
18.02038,17.81476,16.99464,17.3967,16.1007,0.23399,4894.8017,3.94256,0.13121,STAR
19.36909,18.77976,17.50926,18.34922,18.30864,1.42996,6996.09481,3.30404,-0.70476,QSO
20.89134,19.6679,17.59017,18.56875,17.78123,0.17011,6489.97926,3.90958,-0.28781,GALAXY
19.10605,17.61379,16.02452,17.45399,16.63396,0.16887,6180.37881,4.88536,0.00264,STAR
17.93268,17.22073,17.23213,16.92296,16.04284,0.21544,6828.95308,4.3606,0.04293,STAR
19.34784,17.25405,17.5566,17.49721,15.82509,0.38815,7789.70053,4.59275,0.02991,STAR
19.2614,17.73533,19.69528,18.73564,18.68173,1.47931,4994.21541,4.52433,-0.63053,QSO
19.17743,18.79586,17.43454,16.93167,16.36905,0.12625,6781.64681,4.14905,-0.36304,STAR
16.75449,17.43834,19.4428,20.04927,18.56877,2.17058,7251.07865,4.67693,-1.05453,QSO
17.32848,17.09461,16.56177,16.77638,17.91194,0.16236,5922.4556,4.9281,0.32754,STAR
17.89956,19.72413,19.73142,18.40906,18.54896,0.63253,8032.73869,4.74159,-0.25568,QSO
17.87978,17.70067,16.69085,16.91088,16.10547,0.22645,6400.54396,4.70689,0.07593,STAR
20.69383,20.02226,19.02805,18.07072,20.15739,0.26215,4005.46564,4.12994,-0.5395,GALAXY
19.93996,19.74568,19.63172,18.18692,18.89191,0.36594,4804.75963,3.33085,-0.49063,GALAXY
20.39738,19.75694,18.68171,19.00106,18.34613,0.17584,5095.20745,5.00358,0.18393,GALAXY
18.28278,18.43838,17.20706,15.79951,16.48183,0.26612,3521.72599,5.01143,-0.42715,STAR
19.12368,19.37413,18.25662,19.62117,18.39709,1.7003,7798.29637,3.37207,-0.37405,QSO
20.95315,20.33576,18.47752,18.75923,17.56778,0.1701,5584.09097,3.06976,-0.32001,GALAXY
17.81338,17.46523,17.61741,16.52196,16.76105,0.24517,7445.78713,4.09904,-0.07148,STAR
18.90554,17.41494,16.56686,16.35006,16.65298,0.02667,5648.23112,4.25095,0.14024,STAR
18.3198,18.56833,16.52578,16.66463,16.65384,0.02843,4255.98428,4.42993,-0.17042,STAR
19.268,20.73724,20.64017,19.23686,18.89603,1.6296,7179.87671,3.98884,-0.35655,QSO
21.38286,20.44576,18.86108,19.25098,18.12056,0.30131,4217.86581,2.67996,0.4715,GALAXY
17.79626,17.51604,17.02237,16.65856,16.78276,0.24975,3395.08733,4.74203,-0.23491,STAR
17.01864,16.92906,17.4977,16.8375,15.99249,0.01857,4146.40616,4.84163,0.29182,STAR
18.90241,16.66326,17.00137,16.38864,15.99303,0.0975,3597.27314,3.98777,-0.00821,STAR
18.57484,16.94983,16.89589,16.03444,16.07074,0.22818,3633.00289,4.69171,-0.22459,STAR
21.46972,19.58359,18.94892,17.38837,19.55876,0.31424,4450.06555,3.71685,-0.30657,GALAXY
21.48368,20.06392,20.63904,18.3274,19.01969,0.45515,5005.11125,3.12371,-0.35607,GALAXY
18.1115,17.64444,16.5312,16.11058,15.95701,0.05026,6152.47488,4.49818,0.05549,STAR
17.93677,17.88669,17.25081,16.30967,16.4963,0.10713,4714.8178,3.93271,-0.41404,STAR
18.8835,18.43445,17.42731,15.87566,17.10668,0.04899,2500,4.35442,0.32749,STAR
20.4256,20.52469,19.31313,19.14185,19.41522,0.24818,4817.17968,2.74044,-0.55417,GALAXY
18.41496,18.18951,16.92244,16.93717,18.30157,0.1089,9235.34555,3.92868,0.05575,STAR
18.88602,17.12415,16.81122,16.57143,16.75616,0.16501,3557.3264,4.30978,0.0656,STAR
21.42558,19.26981,18.87396,19.52162,18.54449,0.07297,3608.99893,3.57984,0.23975,GALAXY
17.69479,17.23647,17.50518,15.4568,15.55101,0.06647,4784.71734,4.42569,-0.65982,STAR
21.58638,19.8434,19.54747,19.84923,17.08724,0.27352,3375.10102,4.17792,-0.58679,GALAXY
18.48472,19.74911,19.26075,18.72458,18.99058,1.02368,9114.50353,2.29079,-0.56943,QSO
22.64464,19.21754,20.0786,18.76787,19.34703,0.29456,5288.76361,2.67458,-0.6153,GALAXY
22.67086,18.82259,20.40635,19.73584,20.17923,0.23127,6305.18696,3.69068,-0.22573,GALAXY
17.73124,15.63258,16.83886,17.21798,16.80951,0.04696,9130.86493,4.28486,-0.27122,STAR
17.36225,18.89213,15.99835,16.81658,15.77415,0.05,6855.33629,4.27178,-0.14504,STAR
21.08274,21.49847,19.79847,21.0647,18.63311,0.19299,3700.41161,3.22489,0.47528,GALAXY
22.24842,20.50233,19.29137,19.64425,19.24554,0.15454,5065.55512,3.79968,-0.33193,GALAXY
16.85946,18.96403,16.65399,17.91838,14.95105,0.1978,6106.57781,3.98717,0.18124,STAR
19.74081,21.02829,19.77505,18.80921,18.31219,0.04856,3712.89494,4.05431,-0.12322,GALAXY
21.95529,19.01462,19.64512,19.93351,17.65798,0.27962,4477.45268,3.6801,-0.03223,GALAXY
19.01133,18.43046,16.41866,17.62374,16.63342,0.09301,3449.46223,4.68155,-0.66151,STAR
18.87059,17.31393,16.35301,15.85625,16.44771,0.03281,7329.3868,4.97857,0.01528,STAR
18.56741,17.17443,17.74079,16.89985,16.18431,0.18696,5988.34431,4.93458,-0.13861,STAR
19.35378,17.03439,16.02931,16.43908,18.14341,0.34918,6550.0571,4.14727,0.07784,STAR
19.23132,18.26576,17.79756,17.0512,17.27101,0.08351,5288.36089,4.17652,-0.60675,STAR
20.01925,21.19881,20.21073,18.9475,19.65412,0.07771,5368.89039,3.7844,0.07517,GALAXY
21.8983,18.89578,19.92605,19.44841,19.63818,0.21351,5166.24023,2.99947,0.13831,GALAXY
22.10864,19.13514,19.61088,18.55351,18.82808,0.38282,2507.36452,3.33401,-0.37002,GALAXY
18.26505,17.80533,16.87124,16.92987,17.15864,0.04395,5137.29125,4.05233,-0.05598,STAR
18.83875,19.41894,18.43013,18.83085,19.74191,1.99761,12902.95079,3.2117,-0.14806,QSO
23.02313,19.74404,19.13413,20.40552,19.57722,0.06948,3526.29035,2.62352,0.04688,GALAXY
19.06127,16.68689,16.34725,16.67521,16.30849,0.08597,6688.465,5.38143,0.04105,STAR
19.3691,19.05887,16.48219,15.7071,16.24934,0.02458,4683.42525,4.68892,-0.05474,STAR
20.07642,18.06424,18.70479,17.38102,17.83157,0.10982,9703.5115,5.40865,-0.71536,QSO
21.2811,18.16929,17.83999,19.37603,19.87658,0.3141,4759.52511,4.16185,-0.62067,GALAXY
18.28735,17.35915,16.43513,15.97879,16.16069,0.32067,5169.25081,4.31024,-0.02168,STAR
19.09601,18.63398,15.69301,16.72731,15.31995,0.00519,5998.47845,4.14069,-0.22011,STAR
17.98189,17.73581,17.10037,15.69141,16.46601,0.39218,4535.9891,4.36663,0.37704,STAR
21.3516,20.79785,19.69068,17.83028,18.07788,0.43122,4627.47636,3.0137,0.10747,GALAXY
