u,g,r,i,z,redshift,temperature,logg,metallicity,class
18.67362,18.07311,16.21287,16.35175,17.23201,0.19965,6267.38638,4.91486,0.27138,STAR
20.26623,17.95,18.39925,18.55658,18.93708,0.26639,6843.48366,4.73103,0.02586,QSO
18.76751,19.89604,18.88469,18.66539,18.55427,1.3924,10139.45327,4.0528,-1.19055,QSO
20.49985,18.33324,18.11466,17.6188,17.45417,1.14556,8300.51381,2.14965,-0.42262,QSO
19.78906,19.32166,19.50169,17.94685,18.52559,0.65555,8550.04277,4.38723,0.05951,QSO
17.68146,18.39781,17.07242,16.85304,16.21742,0.049,7392.49214,4.08227,-0.21242,STAR
20.02942,19.29723,20.42638,18.90177,19.16848,0.24063,5525.94189,2.89211,-0.21239,GALAXY
21.26203,20.38189,19.63938,19.69459,18.37133,0.29327,5219.45116,2.79753,0.48918,GALAXY
19.16136,20.48071,19.07234,17.00284,19.23852,0.71793,5769.31221,4.74909,-0.51404,QSO
19.61451,16.89599,16.40199,17.0342,16.0385,0.23547,6336.40147,3.96703,0.04412,STAR
17.50176,17.90443,16.69326,15.31524,16.17694,0.1441,8545.97423,4.25497,-0.05763,STAR
17.63753,16.72296,17.26815,16.18216,16.8723,0.09548,4788.67442,3.30109,0.01051,STAR
17.80428,19.0895,18.4916,18.03571,18.80021,1.58455,7831.00419,4.02712,-0.87109,QSO
20.88448,20.65921,18.76855,19.72049,18.57701,0.23025,4656.37947,2.86281,-0.5238,GALAXY
18.14422,17.85914,18.29954,20.61255,19.48922,2.29532,9562.11051,3.7126,-0.17894,QSO
18.29173,19.45591,18.46935,17.95537,18.13396,1.32675,4875.75657,4.5326,-1.38225,QSO
17.71085,17.03302,15.84596,16.83914,15.39958,0.15073,8009.36656,3.84108,-0.16171,STAR
19.11589,17.6247,15.6503,16.30286,15.97542,0.17639,6753.71493,4.10025,-0.37702,STAR
21.38635,20.37368,19.90709,19.32694,18.28655,0.32195,6744.26289,3.97328,-0.77843,GALAXY
20.28929,19.06305,18.30592,18.5761,18.96481,1.52101,7165.2275,3.05988,-0.45804,QSO
21.15701,20.92085,20.05587,19.58137,18.32513,0.04073,5600.43009,3.17753,0.26047,GALAXY
20.35177,20.57889,19.43975,19.12914,18.71241,0.31622,5135.11215,2.87656,-0.09341,GALAXY
18.7558,19.84633,18.31896,18.32564,19.18272,1.01813,7123.94363,2.8246,-0.8556,QSO
19.97697,19.99129,18.84757,20.62884,18.909,1.51858,9740.09986,3.89003,0.19922,QSO
21.0006,18.75894,18.70683,18.29281,18.40881,0.37372,5191.43697,3.47373,-0.5487,GALAXY
18.35331,16.66624,16.74905,17.17297,15.71808,0.01343,3936.71028,4.29233,0.22843,STAR
19.64577,20.54248,20.20545,18.69689,18.85206,0.40933,4759.34104,4.18324,-0.32157,GALAXY
20.45379,20.49776,19.2557,19.11901,18.55274,0.24942,5755.20902,4.43051,-0.46815,GALAXY
21.47248,22.06308,20.04922,18.62399,19.71756,0.03357,4961.20075,3.59474,-0.4491,GALAXY
21.32299,21.0437,18.84404,19.84125,19.15033,0.07909,3726.02982,4.14925,-0.54339,GALAXY
19.10611,18.03677,19.08324,17.97599,17.96735,1.65049,8374.35448,4.62362,-0.06645,QSO
18.44903,18.10743,16.84574,16.3396,16.43044,0.2012,5530.81712,3.86979,-0.23137,STAR
18.26208,17.66181,16.80221,17.26663,16.50275,0.09467,7310.74203,4.78283,0.03451,STAR
18.17777,17.96495,17.59231,16.41405,16.19641,0.01246,5446.06768,3.74781,-0.0735,STAR
21.12301,21.56566,19.43799,19.71307,19.90734,0.02499,4201.38542,3.533,-0.41185,GALAXY
20.68594,21.26679,19.08894,19.72431,18.25564,0.16703,4858.20109,3.55485,0.01625,GALAXY
22.27682,19.73613,19.68691,19.73572,19.17199,0.19117,5023.39879,3.52243,-0.62786,GALAXY
17.84288,17.63413,16.10906,15.99853,17.09895,0.08415,4891.23926,3.9258,-0.1044,STAR
20.96908,20.26895,20.71422,19.2639,18.0067,0.03043,4372.46181,3.45483,-0.77004,GALAXY
18.71618,18.09238,17.01505,17.64285,16.05373,0.22018,5112.91064,4.43427,-0.1692,STAR
19.46828,20.16476,19.55512,18.51438,17.78057,0.1681,6023.20095,3.80076,0.24396,GALAXY
18.63739,17.1189,16.61728,16.91807,15.88918,0.13202,3908.53888,4.64671,-0.30425,STAR
20.88246,20.08517,20.0818,18.50592,19.64665,0.19616,3344.41487,2.9611,-0.71706,GALAXY
20.65489,19.6881,19.65236,19.77087,18.21297,0.36613,4715.08262,2.67452,0.30867,GALAXY
19.68831,17.87325,17.06087,17.1063,16.02146,0.08515,6150.73224,4.39286,-0.01443,STAR
21.87106,20.00174,18.43698,18.95888,17.25811,0.03128,5778.96877,2.76641,-0.43032,GALAXY
20.99588,20.29911,18.97355,19.99949,18.907,0.12175,5131.72826,3.46436,-0.11228,GALAXY
18.59804,17.60061,17.82166,16.58157,15.94896,0.09995,4491.34611,4.06247,-0.05823,STAR
17.94447,17.3653,17.87402,17.02201,16.02691,0.09833,5567.48875,4.10279,-0.15842,STAR
18.5205,18.77192,18.65154,19.03005,19.25999,1.63765,10729.65611,3.41832,0.48468,QSO
18.66191,17.82401,18.38582,19.90691,18.36027,1.53648,4333.66553,4.49692,-0.46331,QSO
20.64297,20.01079,19.68943,19.26971,17.136,0.10495,4896.24833,3.08249,-0.57043,GALAXY
22.58206,21.47666,19.57844,19.10329,19.02254,0.10362,3639.58894,4.40732,0.19378,GALAXY
19.79852,21.33153,19.30285,20.737,18.04644,0.05243,4567.29539,3.40206,-0.26869,GALAXY
16.82502,17.72857,17.28417,16.37313,16.07094,0.1962,7565.75544,4.04663,-0.40067,STAR
20.88706,19.19203,20.25293,19.30477,18.0828,0.11111,7212.73094,3.30404,0.09184,GALAXY
18.364,19.75163,18.64059,19.00129,19.73614,2.49471,8633.83792,2.99907,-0.27817,QSO
19.86737,20.78839,20.34765,20.75846,18.44106,0.07692,5145.50985,3.32988,-0.08087,GALAXY
19.0698,17.25849,16.63252,16.22805,16.1718,0.11558,6111.92228,4.00114,0.18331,STAR
18.0,17.06687,17.16166,16.25971,16.43114,0.06796,4990.96728,4.17369,0.12081,STAR
18.51671,17.08277,17.11441,17.41588,17.46374,0.12681,7647.15378,4.50002,0.23031,STAR
19.89128,18.18977,18.71608,17.28261,18.25028,2.19199,5759.5832,3.52992,-0.40445,QSO
18.87893,17.80303,19.18223,18.04471,18.84617,0.8666,9363.48189,4.25511,-0.48593,QSO
19.18908,18.40465,17.24359,16.51892,15.55421,0.04643,6804.73743,4.8917,-0.29405,STAR
21.72127,19.9704,18.07746,18.69011,19.10767,0.16852,4809.52151,3.84049,0.38378,GALAXY
17.59905,17.04533,17.01872,16.4342,16.51925,0.08125,5372.04026,4.58946,-0.09192,STAR
19.17229,16.51256,17.25847,16.14006,16.88437,0.12097,5519.15165,4.33333,0.00262,STAR
17.97785,17.22006,18.8904,18.4576,18.80462,1.6619,11085.6839,4.31931,-0.44351,QSO
20.74597,20.12864,19.21773,19.06912,19.12279,0.06061,3568.89114,3.26536,0.05977,GALAXY
17.94729,17.3804,16.96737,16.49162,15.70514,0.14987,5145.8319,4.6868,0.27767,STAR
18.06723,16.15846,17.3757,16.49307,15.95737,0.09549,4772.8657,3.97648,-0.3083,STAR
20.37044,19.61696,19.0144,19.79401,18.96569,0.08172,4710.9952,3.68387,-0.20166,GALAXY
19.21257,19.5929,18.34033,18.68839,18.62187,2.78598,5339.39333,3.71313,-0.34175,QSO
20.64929,20.61025,20.15709,19.12982,17.90417,0.31184,4753.28684,3.57968,-0.22973,GALAXY
20.02736,20.03771,20.20991,19.17579,19.93885,0.42844,4277.36749,3.23987,-0.47769,GALAXY
19.56528,18.20497,19.33808,18.35546,18.29158,2.29398,6383.74196,3.45185,-0.54608,QSO
17.89428,18.28311,17.10123,16.69644,16.54789,0.00093,7788.76109,4.26013,-0.24166,STAR
17.57845,17.6214,16.54151,17.47986,16.94739,0.01857,6091.25745,3.96949,0.31305,STAR
16.80716,17.63582,16.69867,16.2598,16.37066,0.12029,3844.50148,4.39198,-0.1696,STAR
19.21097,20.6973,17.65194,19.30493,19.55653,1.55053,7802.65607,3.02046,0.12676,QSO
19.07565,18.78747,19.71893,18.62215,18.41259,2.12615,6618.70119,3.78076,0.25473,QSO
19.23234,16.84815,16.95216,16.85417,15.95521,0.04567,6304.20454,4.5666,0.29284,STAR
19.01939,18.57949,17.1418,15.89482,16.42088,0.00992,6195.65441,4.39165,0.04742,STAR
23.20979,19.05338,19.33132,18.93104,18.00204,0.05329,5326.64795,3.15446,-0.08631,GALAXY
21.95529,19.1708,17.4089,18.26596,18.81643,1.17268,5842.98095,4.7187,0.32954,QSO
20.19781,20.33345,19.35589,18.68305,18.96164,0.33587,5116.05011,3.00916,0.20137,GALAXY
19.29133,20.48465,19.66553,18.94952,19.24741,0.21654,5226.66801,3.09054,-0.47543,GALAXY
19.53146,17.7342,16.96371,16.21371,16.146,0.12412,4585.76438,4.20834,-0.35852,STAR
20.66213,19.61149,19.10868,18.89172,18.42657,0.17001,5148.84258,3.53179,-0.3678,GALAXY
19.535,20.12374,19.93148,19.46568,19.26517,0.587,4591.21944,3.63728,-0.36511,QSO
21.54459,21.6202,20.17588,19.30271,19.52051,0.26273,4952.86691,3.45464,-0.32427,GALAXY
21.54879,19.81355,18.77373,19.88252,18.95616,0.12433,5550.44901,3.4473,-0.49572,GALAXY
21.42348,20.32497,19.8105,18.24087,18.48728,0.91651,7265.06428,3.5129,-0.53863,QSO
18.80138,19.32312,18.46644,18.16628,17.34165,1.64587,8348.77815,3.53712,-0.16803,QSO
18.82422,18.73708,18.49656,16.13734,16.48946,0.10286,9378.99739,4.13351,0.17876,STAR
17.77094,19.73204,18.12021,18.08683,18.93689,2.47572,8798.25205,3.57793,0.09853,QSO
20.59725,19.7911,17.58089,18.42312,18.20106,0.33519,5166.74428,3.29205,0.04909,GALAXY
21.00371,19.33485,18.73851,18.14293,17.54128,1.1267,8482.352,3.63138,0.03641,QSO
18.34975,17.0858,17.41911,16.70319,17.35281,0.10466,6497.21149,4.84095,-0.26366,STAR
19.36082,18.54766,19.61641,17.60336,16.89533,0.74812,6175.8113,3.49147,-0.41691,QSO
17.31535,18.53487,17.21317,16.03606,17.17307,0.15414,7073.46437,4.48725,-0.18922,STAR
20.70531,20.03364,19.61446,18.4422,18.62856,0.25713,4677.24235,3.33075,-0.46133,GALAXY
18.19275,17.53308,16.37406,15.92848,16.56136,0.05084,5773.38441,4.20537,0.2081,STAR
18.9688,17.97428,17.40953,16.76312,16.88917,0.08014,5899.6419,4.10034,0.1754,STAR
21.54846,19.82203,19.13282,18.27253,17.9069,0.22124,5565.43801,3.47252,-0.52245,GALAXY
20.43706,19.84082,18.27783,19.17635,18.09205,2.1854,9098.13038,3.88372,0.23504,QSO
19.09488,18.6119,19.17548,20.36071,19.05213,1.59493,9243.64312,3.86161,-1.17896,QSO
19.7622,18.07535,17.85689,16.12547,16.34114,0.00496,5587.65714,4.1259,-0.10428,STAR
18.24503,17.21953,16.81536,16.19432,16.23464,0.14089,6017.70694,4.67332,0.26971,STAR
17.32977,17.1735,17.21186,16.68739,16.08294,0.19244,5492.03447,4.21481,-0.06939,STAR
20.71662,19.90947,20.81753,18.37251,17.46766,0.49143,5427.89349,3.1901,-0.41646,GALAXY
21.15345,20.05104,18.95418,20.35148,18.24027,0.20279,4150.79594,3.39778,-0.13099,GALAXY
18.13673,17.08637,16.81225,16.35716,16.51045,0.03321,6766.22705,4.102,-0.18828,STAR
17.40864,19.08663,17.72832,17.51559,19.84794,0.64369,9871.3068,3.95178,-0.39587,QSO
19.75208,18.87992,18.68543,17.14742,20.1093,0.70918,5774.80089,3.86792,-0.03876,QSO
19.66588,17.36586,16.58342,17.18204,16.38502,0.07262,3607.99428,4.12389,0.09863,STAR
18.55959,18.60423,18.9293,21.19958,18.53494,2.32238,10986.19635,4.2913,-0.5344,QSO
21.17132,19.9837,18.92339,20.37497,18.52159,0.0092,5915.06475,3.0535,-0.53965,GALAXY
19.76103,20.8025,17.73624,18.57219,20.11226,1.72441,8253.34916,3.86967,-0.93165,QSO
17.75032,17.42815,16.99029,17.40317,15.73879,0.13807,4322.86682,4.36611,-0.38211,STAR
20.04743,20.60813,18.86652,19.3894,19.06382,0.44657,5524.2655,3.7869,-0.17236,GALAXY
20.68852,17.92633,19.51229,18.84875,20.60723,0.04483,5938.4377,2.97857,-0.38555,GALAXY
18.87035,17.45985,16.98719,16.55228,15.73493,0.03294,7404.17409,4.27574,-0.40666,STAR
21.77463,19.19678,18.76089,19.00356,18.79999,0.18456,6346.07645,3.3845,-0.678,GALAXY
21.57545,19.07497,19.40292,19.63731,18.8846,0.12707,5682.92949,3.65542,-0.56359,GALAXY
20.60202,19.94047,19.12545,19.05991,19.08508,0.0893,5120.5398,3.16338,-0.04341,GALAXY
16.92753,19.73401,19.68313,18.27361,18.7678,0.53705,5890.59812,4.01227,0.0958,QSO
17.66912,16.41926,17.14295,15.79199,16.50378,0.0545,4659.8286,4.4134,-0.30896,STAR
19.05615,16.83157,18.84238,18.17703,19.19482,1.56365,3344.857,2.92818,-0.59895,QSO
18.48992,17.33272,16.76942,16.06281,15.93748,0.17927,4126.32215,4.4776,0.05447,STAR
18.44318,17.28191,16.61811,15.59267,16.59308,0.00966,5763.35605,4.5085,-0.18177,STAR
20.00786,20.21402,20.30844,19.54051,18.73053,0.39114,4316.26357,2.97231,-0.14663,GALAXY
18.00826,17.50941,16.78098,17.07715,15.61651,0.06422,4894.38701,4.40629,-0.09046,STAR
21.30752,21.08121,18.701,18.42975,17.63753,0.08554,5660.22532,3.88495,-0.95341,GALAXY
17.45046,17.43048,17.38405,16.45628,16.44968,0.0935,6504.78841,4.2454,0.08785,STAR
19.01672,20.22471,17.65855,18.59059,18.27727,1.19818,7160.85209,2.89489,0.13593,QSO
19.1094,21.59213,17.95998,18.52083,19.77297,1.07903,9615.70327,4.40532,-0.36239,QSO
17.43942,17.33065,16.48271,16.14511,16.63904,0.14404,4894.61291,3.27228,0.00861,STAR
20.80171,21.14562,20.39104,19.87374,16.11958,0.11487,5639.35514,2.75164,-0.39532,GALAXY
18.36698,18.04973,17.01359,16.15983,15.78726,0.01628,7722.04654,4.32239,-0.28191,STAR
21.85156,20.54613,19.57689,18.80074,19.27993,0.07826,3334.69762,3.6065,-0.70965,GALAXY
19.65242,18.99586,18.90214,18.95858,18.85994,0.0826,5116.16803,2.47067,-0.38138,GALAXY
19.24051,17.21365,16.81902,16.22534,15.34441,0.09124,5036.13499,4.6043,-0.09096,STAR
19.14931,17.51636,17.27822,16.02348,15.70034,0.10601,7190.91675,3.82074,-0.11412,STAR
17.63225,17.01717,17.2201,16.64508,16.93413,0.08647,5531.23999,4.23983,0.07284,STAR
19.57655,17.07435,18.81445,18.86842,17.56994,1.48295,9077.76856,5.16727,-0.40685,QSO
18.01378,20.27123,20.39758,19.70881,16.73418,1.24634,6593.57874,3.68566,-0.81426,QSO
19.11193,19.08819,20.22196,18.24676,18.28838,1.24555,6929.80287,3.84115,-0.96675,QSO
18.07139,17.15667,16.68531,16.96321,15.98006,0.04843,6751.71418,4.12654,0.21028,STAR
18.52148,17.97404,17.63684,16.67085,15.90697,0.014,5147.59082,4.57024,0.21156,STAR
19.02454,17.60725,17.10366,16.23496,15.95549,0.02952,6031.36117,3.73654,0.02297,STAR
18.87645,17.80282,17.20799,17.24381,15.37891,0.08468,5252.72562,3.79779,-0.23757,STAR
20.87007,18.55225,18.04487,20.25737,18.35679,1.06346,7715.59155,4.35988,-1.22894,QSO
19.6611,20.40543,19.31174,18.36264,18.75963,0.31617,6044.07437,2.87996,0.11519,GALAXY
18.69102,18.26678,17.66339,19.51487,17.94873,2.12272,7907.02291,3.37112,0.02898,QSO
18.30418,16.81508,17.07203,16.77729,16.72639,0.14267,4960.21313,4.79145,0.03645,STAR
19.87179,19.22998,19.99006,17.34657,18.11509,0.12749,5777.06433,3.65611,-0.65538,GALAXY
17.61595,19.74654,18.37918,18.62163,18.41504,1.17739,9747.43422,3.44363,-0.91587,QSO
20.88765,18.82409,19.07137,19.86009,20.33109,0.27912,5392.66763,3.72977,-0.78481,GALAXY
19.65475,20.13844,20.55593,19.77508,19.89821,0.02877,5188.05934,3.3929,-0.07289,GALAXY
21.15331,19.36128,20.06939,19.44439,19.74057,0.14818,6325.81264,3.75704,-0.36358,GALAXY
16.64212,20.15537,18.78753,19.11577,21.17709,1.49689,6683.60233,3.99169,-0.46156,QSO
21.52013,21.17524,19.84734,19.37592,18.07818,0.39535,3745.89851,3.47063,0.37344,GALAXY
20.48192,20.75244,18.8721,19.67812,18.26703,0.08839,5553.53053,3.84692,0.43006,GALAXY
17.60525,18.46363,16.88738,16.73594,16.46721,0.17908,5999.10248,3.89213,-0.02621,STAR
20.41096,19.77635,18.1615,19.28982,18.89023,0.54374,6433.98335,3.98361,-0.88641,QSO
20.74156,19.81242,19.84398,18.3928,18.11436,0.27713,4628.12228,2.89599,-0.20413,GALAXY
19.35293,21.59836,18.53355,18.65888,19.33397,0.32173,5008.31862,3.14746,-0.32439,GALAXY
16.40994,19.28763,18.03199,20.42975,19.47256,2.02257,8631.22697,3.71401,-1.42606,QSO
17.38808,16.82742,16.83321,16.76124,15.74157,0.1645,4313.3652,4.38902,-0.47472,STAR
21.04381,21.36625,19.20174,19.05552,18.88987,0.42021,4465.16815,3.309,-0.67157,GALAXY
17.792,17.65925,18.43075,17.11465,16.59352,0.11046,5679.73735,4.45431,-0.56914,STAR
18.15332,17.91697,17.21847,16.65621,16.22358,0.06735,6305.00173,4.11668,-0.13302,STAR
21.01577,19.56902,19.26158,18.35388,19.14352,0.03776,4980.70219,3.57174,0.32836,GALAXY
19.45299,15.75747,16.94287,16.64987,15.87591,0.11253,6460.99641,4.45144,0.37008,STAR
19.97994,19.14496,19.80725,19.37431,18.20271,0.28843,5161.6901,2.58147,-0.55414,GALAXY
19.00562,18.58578,19.07835,18.89324,18.50106,2.03463,6586.30746,3.08092,-1.3258,QSO
21.31793,19.62977,17.56979,17.12705,16.80969,2.00238,8577.92239,3.34519,-0.37067,QSO
21.15275,19.12536,20.24004,19.09368,17.51147,0.144,4869.73406,3.00839,0.28319,GALAXY
17.22869,17.34449,16.94037,16.52837,16.52209,0.04698,4961.14208,4.38958,-0.08619,STAR
18.63571,18.74751,17.58353,16.04247,15.38246,0.15573,5248.38513,4.24971,-0.17985,STAR
20.18119,20.09039,19.91952,18.13102,20.4326,1.11758,7014.68236,3.33328,-1.32332,QSO
21.17719,20.61927,19.24465,17.78187,19.39893,0.23498,4368.54739,3.50094,-0.07655,GALAXY
18.54698,19.66176,21.04182,19.60928,18.51273,2.09546,3149.82091,3.8774,-0.55451,QSO
20.48756,20.87259,20.41435,19.29268,19.72763,0.40391,4415.60897,3.55191,-0.11298,GALAXY
20.79682,20.89323,19.80729,18.86628,17.62116,0.024,4818.53076,3.06848,-0.4476,GALAXY
19.19163,18.37691,19.34438,18.37342,18.74573,0.35204,3828.12134,3.53466,-0.64983,GALAXY
19.40348,17.29586,16.21838,16.67713,16.802,0.01743,5268.8575,3.94841,-0.50289,STAR
16.93129,16.15786,16.60868,17.11449,16.61164,0.03496,3983.75182,4.34815,0.01749,STAR
21.23598,21.14985,20.26368,18.51878,18.50514,0.2643,4161.81524,2.8081,-0.04544,GALAXY
19.69448,18.20063,18.43757,19.81267,19.02314,1.11588,9690.38418,4.15744,-0.74975,QSO
19.5239,19.17286,19.06122,18.54697,19.77615,2.19493,6457.61225,3.17708,-0.72704,QSO
16.95424,16.44111,16.32347,16.88504,16.3736,0.04414,4625.75794,4.4018,-0.09013,STAR
19.61101,19.51818,19.7173,19.03286,18.86334,0.71155,8711.83257,4.56116,-0.26692,QSO
20.4632,20.25671,19.04267,19.34047,17.97515,0.36553,2707.76843,3.21135,-0.49498,GALAXY
18.72686,18.86778,19.8072,17.46261,18.70536,0.5345,7007.75725,4.08243,-0.0727,QSO
19.98712,18.15633,18.68858,19.02652,18.48579,2.41662,9660.21751,2.94527,-0.82731,QSO
18.12351,17.60535,16.99828,16.80687,15.59906,0.15026,3816.35668,4.64835,0.00771,STAR
17.16636,17.14951,16.4035,15.53597,17.01828,0.00128,5575.96003,4.49147,0.23334,STAR
18.0062,17.93547,18.95142,18.8688,18.63965,1.72269,6664.90548,3.74518,-0.81393,QSO
21.80691,20.34022,20.64473,18.80495,18.20552,0.30406,6787.24133,2.88988,-1.09387,GALAXY
21.31877,21.0728,20.44278,19.36184,18.52961,0.36174,4333.76364,4.1648,-0.19419,GALAXY
18.90876,19.61519,18.75107,19.02423,17.61123,2.42604,10182.64989,3.64478,-0.90914,QSO
18.52346,18.42699,16.4784,17.41871,16.1787,0.06033,5603.67746,3.53081,-0.18326,STAR
21.18816,18.57202,19.63989,20.05623,20.0224,0.09072,5461.85817,3.91172,0.24616,GALAXY
21.31813,20.02493,20.22782,19.84834,19.06804,0.24697,5826.04422,2.9642,-0.0387,GALAXY
19.99122,17.79406,18.05832,18.01697,17.67734,2.22786,11901.83734,3.96892,-0.49249,QSO
15.97465,19.30776,17.59378,17.88787,18.34045,2.43107,7376.23398,3.31413,-0.61051,QSO
20.34075,18.65718,18.72749,18.72056,18.56034,1.58386,7432.6717,2.71011,-0.21699,QSO
